Creep,['Radiohead'],0.515,0.43,0.129,0.0097,0.104,91.844,1993
Gangsta's Paradise,"['Coolio', 'L.V.']",0.647,0.514,0.398,0.0655,0.387,79.974,1995
Losing My Religion,['R.E.M.'],0.666,0.855,0.0987,0.179,0.803,125.639,1991
Smells Like Teen Spirit,['Nirvana'],0.502,0.912,0.106,2.55e-05,0.72,116.761,1991
Thunderstruck,['AC/DC'],0.502,0.89,0.217,0.000147,0.259,133.52,1990
November Rain,"[""Guns N' Roses""]",0.294,0.641,0.112,0.0163,0.226,79.759,1991
What's Up?,['4 Non Blondes'],0.565,0.564,0.114,0.161,0.454,134.355,1992
Wannabe,['Spice Girls'],0.768,0.864,0.162,0.101,0.891,110.008,1996
Zombie,['The Cranberries'],0.307,0.635,0.366,0.0154,0.304,166.973,1994
Under the Bridge,['Red Hot Chili Peppers'],0.559,0.345,0.141,0.0576,0.458,84.581,1991
Basket Case,['Green Day'],0.442,0.943,0.091,0.00293,0.781,85.064,1994
Enter Sandman,['Metallica'],0.577,0.828,0.0581,0.00213,0.604,123.257,1991
Ambitionz Az A Ridah,['2Pac'],0.801,0.908,0.0698,0.00253,0.805,87.279,1996
Nothing Else Matters,['Metallica'],0.553,0.362,0.075,0.0458,0.158,142.352,1991
Bitter Sweet Symphony,['The Verve'],0.356,0.917,0.406,0.0335,0.518,171.176,1997
Everlong,['Foo Fighters'],0.413,0.881,0.0805,5.99e-05,0.364,158.066,1997
Hypnotize - 2014 Remaster,['The Notorious B.I.G.'],0.901,0.697,0.287,0.145,0.67,93.941,1997
Iris,['The Goo Goo Dolls'],0.315,0.715,0.0942,0.00125,0.497,155.925,1998
The Kids Aren't Alright,['The Offspring'],0.523,0.943,0.0579,0.00704,0.766,99.607,1998
Ruff Ryders' Anthem,['DMX'],0.88,0.577,0.201,0.0564,0.74,90.991,1998
Wonderwall - Remastered,['Oasis'],0.378,0.896,0.194,0.000452,0.469,174.302,1995
Big Poppa - 2005 Remaster,['The Notorious B.I.G.'],0.78,0.575,0.143,0.43,0.773,84.492,1994
Juicy - 2005 Remaster,['The Notorious B.I.G.'],0.889,0.818,0.179,0.47,0.782,96.063,1994
Wind Of Change,['Scorpions'],0.452,0.524,0.103,0.315,0.246,151.505,1990
Killing In The Name,['Rage Against The Machine'],0.466,0.833,0.0327,0.0266,0.661,88.785,1992
It Was A Good Day,['Ice Cube'],0.798,0.744,0.292,0.33,0.794,82.356,1992
Come As You Are,['Nirvana'],0.5,0.824,0.0916,0.00016,0.539,120.125,1991
Around the World,['Daft Punk'],0.956,0.795,0.0906,0.00356,0.841,121.294,1997
I Will Always Love You,['Whitney Houston'],0.332,0.214,0.0839,0.845,0.11,67.531,1992
Killing Me Softly With His Song,"['Fugees', 'Ms. Lauryn Hill']",0.765,0.29,0.571,0.0279,0.506,92.409,1996
One,['U2'],0.392,0.534,0.155,0.245,0.325,181.305,1991
Careless Whisper,['George Michael'],0.574,0.629,0.271,0.128,0.786,153.119,1998
All Eyez On Me (ft. Big Syke),"['2Pac', 'Big Syke']",0.873,0.719,0.333,0.03,0.858,93.281,1996
Santeria,['Sublime'],0.682,0.765,0.188,0.0268,0.567,90.807,1996
Smells Like Teen Spirit,['Nirvana'],0.502,0.912,0.106,2.55e-05,0.72,116.761,1991
Knockin' On Heaven's Door,"[""Guns N' Roses""]",0.496,0.739,0.106,0.0211,0.378,132.41,1991
"Take Me Home, Country Roads",['John Denver'],0.255,0.43,0.188,0.546,0.546,164.267,1997
"It Must Have Been Love - From the Film ""Pretty Woman""",['Roxette'],0.52,0.652,0.256,0.34,0.722,80.609,1990
Mr. Jones,['Counting Crows'],0.578,0.817,0.285,0.183,0.726,141.621,1993
Song 2 - 2012 Remaster,['Blur'],0.674,0.789,0.0754,0.00178,0.918,129.804,1997
1979 - Remastered 2012,['The Smashing Pumpkins'],0.767,0.787,0.0513,0.0163,0.964,126.879,1995
