name,artists,popularity,acousticness
Creep,['Radiohead'],83,0.0097
Gangsta's Paradise,"['Coolio', 'L.V.']",83,0.0655
Losing My Religion,['R.E.M.'],83,0.179
Smells Like Teen Spirit,['Nirvana'],83,2.55e-05
Thunderstruck,['AC/DC'],83,0.000147
November Rain,"[""Guns N' Roses""]",81,0.0163
What's Up?,['4 Non Blondes'],81,0.161
Wannabe,['Spice Girls'],81,0.101
Zombie,['The Cranberries'],81,0.0154
Under the Bridge,['Red Hot Chili Peppers'],81,0.0576
Basket Case,['Green Day'],80,0.00293
Enter Sandman,['Metallica'],80,0.00213
Ambitionz Az A Ridah,['2Pac'],80,0.00253
Nothing Else Matters,['Metallica'],80,0.0458
Bitter Sweet Symphony,['The Verve'],80,0.0335
Everlong,['Foo Fighters'],79,5.99e-05
Hypnotize - 2014 Remaster,['The Notorious B.I.G.'],79,0.145
Iris,['The Goo Goo Dolls'],79,0.00125
The Kids Aren't Alright,['The Offspring'],79,0.00704
Ruff Ryders' Anthem,['DMX'],79,0.0564
Wonderwall - Remastered,['Oasis'],79,0.000452
Big Poppa - 2005 Remaster,['The Notorious B.I.G.'],79,0.43
Juicy - 2005 Remaster,['The Notorious B.I.G.'],79,0.47
Wind Of Change,['Scorpions'],79,0.315
Killing In The Name,['Rage Against The Machine'],79,0.0266
It Was A Good Day,['Ice Cube'],79,0.33
Come As You Are,['Nirvana'],79,0.00016
Around the World,['Daft Punk'],78,0.00356
I Will Always Love You,['Whitney Houston'],78,0.845
Killing Me Softly With His Song,"['Fugees', 'Ms. Lauryn Hill']",78,0.0279
One,['U2'],78,0.245
Careless Whisper,['George Michael'],78,0.128
All Eyez On Me (ft. Big Syke),"['2Pac', 'Big Syke']",78,0.03
Santeria,['Sublime'],78,0.0268
Smells Like Teen Spirit,['Nirvana'],78,2.55e-05
Knockin' On Heaven's Door,"[""Guns N' Roses""]",78,0.0211
"Take Me Home, Country Roads",['John Denver'],78,0.546
"It Must Have Been Love - From the Film ""Pretty Woman""",['Roxette'],78,0.34
Mr. Jones,['Counting Crows'],78,0.183
Song 2 - 2012 Remaster,['Blur'],77,0.00178
1979 - Remastered 2012,['The Smashing Pumpkins'],77,0.0163
Good Riddance (Time of Your Life),['Green Day'],77,0.183
Procura,"['ChiChi Peralta', 'Jandy Feliz']",77,0.279
Kiss Me,['Sixpence None The Richer'],77,0.023
Black Hole Sun,['Soundgarden'],77,0.000217
Lamento Boliviano,['Los Enanitos Verdes'],77,0.176
No Diggity,"['Blackstreet', 'Dr. Dre', 'Queen Pen']",77,0.303
Corazón partío,['Alejandro Sanz'],77,0.199
Lemon Tree,['Fools Garden'],77,0.643
Heart-Shaped Box,['Nirvana'],77,0.199
Believe,['Cher'],77,0.0082
Linger,['The Cranberries'],77,0.0783
(Everything I Do) I Do It For You,['Bryan Adams'],77,0.0805
When I Come Around,['Green Day'],76,0.0175
Wonderwall - Remastered,['Oasis'],76,0.000509
Regulate,"['Warren G', 'Nate Dogg']",76,0.304
Wonderwall,['Oasis'],76,0.00236
Alive,['Pearl Jam'],76,0.00752
Semi-Charmed Life,['Third Eye Blind'],76,0.00832
"My Heart Will Go On - Love Theme from ""Titanic""",['Céline Dion'],76,0.732
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,"['The Notorious B.I.G.', 'Mase', 'Diddy']",76,0.0128
"Shook Ones, Pt. II",['Mobb Deep'],76,0.0146
"Because You Loved Me (Theme from ""Up Close and Personal"")",['Céline Dion'],76,0.314
Say It Ain't So,['Weezer'],76,0.00737
Even Flow,['Pearl Jam'],76,0.00178
Friday I'm In Love,['The Cure'],76,0.00126
Don't Cry (Original),"[""Guns N' Roses""]",76,0.00182
Always,['Bon Jovi'],76,0.117
Rasputin,['Boney M.'],76,0.463
"Nuthin' But A ""G"" Thang","['Dr. Dre', 'Snoop Dogg']",76,0.00575
Everybody Hurts,['R.E.M.'],76,0.615
No Rain,['Blind Melon'],76,0.619
What's Love Got to Do with It,['Tina Turner'],76,0.219
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],76,0.165
"Boom, Boom, Boom, Boom!!",['Vengaboys'],76,0.0134
Dragula,['Rob Zombie'],75,8.74e-05
Doo Wop (That Thing),['Ms. Lauryn Hill'],75,0.0393
You Get What You Give,['New Radicals'],75,0.17
Freak On a Leash,['Korn'],75,2.23e-05
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",['Eric Carmen'],75,0.011
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],75,0.172
More Than Words,['Extreme'],75,0.452
Karma Police,['Radiohead'],75,0.0638
Truly Madly Deeply,['Savage Garden'],75,0.403
You're Still The One,['Shania Twain'],75,0.363
Flaca,['Andrés Calamaro'],75,0.21
Torn,['Natalie Imbruglia'],75,0.0647
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",['Eric Clapton'],75,0.8
Come As You Are,['Nirvana'],75,0.00016
Fade Into You,['Mazzy Star'],75,0.245
Are You Gonna Go My Way,['Lenny Kravitz'],75,0.00165
To Be With You - 2010 Remastered Version,['Mr. Big'],75,0.286
Bulls On Parade,['Rage Against The Machine'],75,0.0124
Dreams,['The Cranberries'],75,0.00313
Black,['Pearl Jam'],75,0.323
Crazy,['Aerosmith'],75,0.0868
Gin N Juice (feat. Dat Nigga Daz),"['Snoop Dogg', 'Daz Dillinger']",75,0.0285
You Know How We Do It - Remastered,['Ice Cube'],75,0.0977
Jump Around,['House Of Pain'],75,0.0113
The Man Who Sold The World,['Nirvana'],75,0.425
Enter Sandman,['Metallica'],75,0.00206
I Got 5 On It,"['Luniz', 'Michael Marshall']",75,0.209
Send Me on My Way,['Rusted Root'],74,0.114
Bed Of Roses,['Bon Jovi'],74,0.101
Oye Mi Amor,['Maná'],74,0.0102
Hasta Que Me Olvides,['Luis Miguel'],74,0.46
Pretty Fly (For A White Guy),['The Offspring'],74,0.088
Enjoy the Silence,['Depeche Mode'],74,0.2
Nothing Compares 2 U,"[""Sinéad O'Connor""]",74,0.0425
Abrázame Muy Fuerte,['Juan Gabriel'],74,0.689
More Than Words,['Extreme'],74,0.467
U Can't Touch This,['MC Hammer'],74,0.00456
Man in the Box,['Alice In Chains'],74,0.00045
Walk,['Pantera'],74,0.000155
C.R.E.A.M.,['Wu-Tang Clan'],74,0.57
Shape Of My Heart,['Sting'],74,0.691
Clavado En Un Bar,['Maná'],74,0.00737
Breakfast At Tiffany's,['Deep Blue Something'],74,0.11
Return of the Mack,['Mark Morrison'],74,0.00631
Down Under,['Men At Work'],74,0.0485
I Have Nothing,['Whitney Houston'],74,0.576
The Unforgiven,['Metallica'],74,0.0108
Desvelado,['Bobby Pulido'],74,0.0361
Always Be My Baby,['Mariah Carey'],74,0.457
High and Dry,['Radiohead'],74,0.0724
Give It Away,['Red Hot Chili Peppers'],74,0.00244
Buddy Holly,['Weezer'],74,0.00271
Do For Love,['2Pac'],74,0.0578
Sabotage,['Beastie Boys'],74,0.032
Kiss from a Rose,['Seal'],74,0.684
All That She Wants,['Ace of Base'],74,0.00547
Ordinary World,['Duran Duran'],74,0.0131
Everybody (Backstreet's Back) - Radio Edit,['Backstreet Boys'],74,0.0352
Man! I Feel Like A Woman!,['Shania Twain'],74,0.581
La flaca,['Jarabe De Palo'],74,0.52
Angels,['Robbie Williams'],74,0.156
Don't Speak,['No Doubt'],74,0.24
What I Got,['Sublime'],74,0.00877
No Surprises,['Radiohead'],73,0.0577
California Love - Original Version,"['2Pac', 'Roger', 'Dr. Dre']",73,0.0304
Symphony Of Destruction,['Megadeth'],73,0.000805
Tatuajes,['Joan Sebastian'],73,0.741
Hallelujah,['Jeff Buckley'],73,0.931
Learning To Fly,['Tom Petty and the Heartbreakers'],73,0.206
Jeremy,['Pearl Jam'],73,0.0404
Shiny Happy People,['R.E.M.'],73,0.0313
Lithium,['Nirvana'],73,0.00174
Whiskey In The Jar,['Metallica'],73,5.6e-06
One Week,['Barenaked Ladies'],73,0.00854
Amor Prohibido,['Selena'],73,0.669
Why Don't You Get A Job,['The Offspring'],73,0.0674
Ready or Not,"['Fugees', 'Ms. Lauryn Hill', 'Wyclef Jean', 'Pras']",73,0.209
Save Tonight,['Eagle-Eye Cherry'],73,8.14e-05
Lovefool,['The Cardigans'],73,0.0344
Insane in the Brain,['Cypress Hill'],73,0.0297
Cryin',['Aerosmith'],73,0.000202
Fields Of Gold,['Sting'],73,0.372
The Beautiful People,['Marilyn Manson'],73,0.000779
Interstate Love Song - 2019 Remaster,['Stone Temple Pilots'],73,0.000273
La Media Vuelta,['Luis Miguel'],73,0.291
Coco Jamboo,['Mr. President'],73,0.0791
Barbie Girl,['Aqua'],73,0.0167
Dear Mama,['2Pac'],73,0.371
"Love Is All Around - From ""Four Weddings And A Funeral""",['Wet Wet Wet'],73,0.228
Du hast,['Rammstein'],73,0.00369
De Música Ligera - Remasterizado 2007,['Soda Stereo'],73,0.000638
I'll Stand by You,"['Pretenders', 'Bob Clearmountain']",73,0.3
Amiga mía,['Alejandro Sanz'],73,0.519
Freed From Desire,['Gala'],73,0.587
Fantasy,['Mariah Carey'],73,0.139
Bullet With Butterfly Wings - Remastered 2012,['The Smashing Pumpkins'],73,5.59e-05
Streets of Philadelphia - Single Edit,['Bruce Springsteen'],73,0.294
Push The Feeling On - Mk Dub Revisited Edit,"['Nightcrawlers', 'MK']",73,0.028
"Danger Zone - From ""Top Gun"" Original Soundtrack",['Kenny Loggins'],73,0.241
En El Muelle De San Blas,['Maná'],73,0.113
Hit 'Em Up - Single Version,"['2Pac', 'Outlawz']",73,0.0394
Waterfalls,['TLC'],73,0.311
Alright,['Supergrass'],73,0.000479
Fly Away,['Lenny Kravitz'],72,0.018
Chattahoochee,['Alan Jackson'],72,0.362
Gettin' Jiggy Wit It,['Will Smith'],72,0.0175
Every Time You Go Away - Radio Edit,['Paul Young'],72,0.187
End Of The Road,['Boyz II Men'],72,0.0664
Two Princes,['Spin Doctors'],72,0.00162
Walking in Memphis,['Marc Cohn'],72,0.545
Ode To My Family,['The Cranberries'],72,0.0598
Check Yo Self - Remix,"['Ice Cube', 'Das EFX']",72,0.031
Cotton Eye Joe,['Rednex'],72,0.0129
Hero,['Mariah Carey'],72,0.735
Rayando El Sol,['Maná'],72,0.45
"What Is Love - 7"" Mix",['Haddaway'],72,0.0222
They Don't Care About Us,['Michael Jackson'],72,0.205
Would?,['Alice In Chains'],72,0.000327
Harvest Moon,['Neil Young'],72,0.526
Cowboys from Hell,['Pantera'],72,0.00437
Piensa En Mí,['Grupo Mojado'],72,0.348
Tengo Todo Excepto a Ti,['Luis Miguel'],72,0.522
Can I Kick It?,['A Tribe Called Quest'],72,0.173
Don't Look Back in Anger - Remastered,['Oasis'],72,0.0708
Push,['Matchbox Twenty'],72,0.0067
