name,artists,popularity,danceability
Creep,['Radiohead'],83,0.515
Gangsta's Paradise,"['Coolio', 'L.V.']",83,0.647
Losing My Religion,['R.E.M.'],83,0.666
Smells Like Teen Spirit,['Nirvana'],83,0.502
Thunderstruck,['AC/DC'],83,0.502
November Rain,"[""Guns N' Roses""]",81,0.294
What's Up?,['4 Non Blondes'],81,0.565
Wannabe,['Spice Girls'],81,0.768
Zombie,['The Cranberries'],81,0.307
Under the Bridge,['Red Hot Chili Peppers'],81,0.559
Basket Case,['Green Day'],80,0.442
Enter Sandman,['Metallica'],80,0.577
Ambitionz Az A Ridah,['2Pac'],80,0.801
Nothing Else Matters,['Metallica'],80,0.553
Bitter Sweet Symphony,['The Verve'],80,0.356
Everlong,['Foo Fighters'],79,0.413
Hypnotize - 2014 Remaster,['The Notorious B.I.G.'],79,0.901
Iris,['The Goo Goo Dolls'],79,0.315
The Kids Aren't Alright,['The Offspring'],79,0.523
Ruff Ryders' Anthem,['DMX'],79,0.88
Wonderwall - Remastered,['Oasis'],79,0.378
Big Poppa - 2005 Remaster,['The Notorious B.I.G.'],79,0.78
Juicy - 2005 Remaster,['The Notorious B.I.G.'],79,0.889
Wind Of Change,['Scorpions'],79,0.452
Killing In The Name,['Rage Against The Machine'],79,0.466
It Was A Good Day,['Ice Cube'],79,0.798
Come As You Are,['Nirvana'],79,0.5
Around the World,['Daft Punk'],78,0.956
I Will Always Love You,['Whitney Houston'],78,0.332
Killing Me Softly With His Song,"['Fugees', 'Ms. Lauryn Hill']",78,0.765
One,['U2'],78,0.392
Careless Whisper,['George Michael'],78,0.574
All Eyez On Me (ft. Big Syke),"['2Pac', 'Big Syke']",78,0.873
Santeria,['Sublime'],78,0.682
Smells Like Teen Spirit,['Nirvana'],78,0.502
Knockin' On Heaven's Door,"[""Guns N' Roses""]",78,0.496
"Take Me Home, Country Roads",['John Denver'],78,0.255
"It Must Have Been Love - From the Film ""Pretty Woman""",['Roxette'],78,0.52
Mr. Jones,['Counting Crows'],78,0.578
Song 2 - 2012 Remaster,['Blur'],77,0.674
1979 - Remastered 2012,['The Smashing Pumpkins'],77,0.767
Good Riddance (Time of Your Life),['Green Day'],77,0.475
Procura,"['ChiChi Peralta', 'Jandy Feliz']",77,0.805
Kiss Me,['Sixpence None The Richer'],77,0.526
Black Hole Sun,['Soundgarden'],77,0.35
Lamento Boliviano,['Los Enanitos Verdes'],77,0.714
No Diggity,"['Blackstreet', 'Dr. Dre', 'Queen Pen']",77,0.867
Corazón partío,['Alejandro Sanz'],77,0.648
Lemon Tree,['Fools Garden'],77,0.663
Heart-Shaped Box,['Nirvana'],77,0.256
Believe,['Cher'],77,0.652
Linger,['The Cranberries'],77,0.439
(Everything I Do) I Do It For You,['Bryan Adams'],77,0.533
When I Come Around,['Green Day'],76,0.531
Wonderwall - Remastered,['Oasis'],76,0.375
Regulate,"['Warren G', 'Nate Dogg']",76,0.849
Wonderwall,['Oasis'],76,0.41
Alive,['Pearl Jam'],76,0.284
Semi-Charmed Life,['Third Eye Blind'],76,0.64
"My Heart Will Go On - Love Theme from ""Titanic""",['Céline Dion'],76,0.428
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,"['The Notorious B.I.G.', 'Mase', 'Diddy']",76,0.845
"Shook Ones, Pt. II",['Mobb Deep'],76,0.763
"Because You Loved Me (Theme from ""Up Close and Personal"")",['Céline Dion'],76,0.615
Say It Ain't So,['Weezer'],76,0.634
Even Flow,['Pearl Jam'],76,0.394
Friday I'm In Love,['The Cure'],76,0.526
Don't Cry (Original),"[""Guns N' Roses""]",76,0.456
Always,['Bon Jovi'],76,0.383
Rasputin,['Boney M.'],76,0.691
"Nuthin' But A ""G"" Thang","['Dr. Dre', 'Snoop Dogg']",76,0.801
Everybody Hurts,['R.E.M.'],76,0.467
No Rain,['Blind Melon'],76,0.389
What's Love Got to Do with It,['Tina Turner'],76,0.851
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],76,0.383
"Boom, Boom, Boom, Boom!!",['Vengaboys'],76,0.811
Dragula,['Rob Zombie'],75,0.591
Doo Wop (That Thing),['Ms. Lauryn Hill'],75,0.535
You Get What You Give,['New Radicals'],75,0.621
Freak On a Leash,['Korn'],75,0.353
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",['Eric Carmen'],75,0.712
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],75,0.39
More Than Words,['Extreme'],75,0.623
Karma Police,['Radiohead'],75,0.36
Truly Madly Deeply,['Savage Garden'],75,0.555
You're Still The One,['Shania Twain'],75,0.585
Flaca,['Andrés Calamaro'],75,0.739
Torn,['Natalie Imbruglia'],75,0.575
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",['Eric Clapton'],75,0.695
Come As You Are,['Nirvana'],75,0.5
Fade Into You,['Mazzy Star'],75,0.42
Are You Gonna Go My Way,['Lenny Kravitz'],75,0.619
To Be With You - 2010 Remastered Version,['Mr. Big'],75,0.688
