name,artists,popularity,energy
Creep,['Radiohead'],83,0.43
Gangsta's Paradise,"['Coolio', 'L.V.']",83,0.514
Losing My Religion,['R.E.M.'],83,0.855
Smells Like Teen Spirit,['Nirvana'],83,0.912
Thunderstruck,['AC/DC'],83,0.89
November Rain,"[""Guns N' Roses""]",81,0.641
What's Up?,['4 Non Blondes'],81,0.564
Wannabe,['Spice Girls'],81,0.864
Zombie,['The Cranberries'],81,0.635
Under the Bridge,['Red Hot Chili Peppers'],81,0.345
Basket Case,['Green Day'],80,0.943
Enter Sandman,['Metallica'],80,0.828
Ambitionz Az A Ridah,['2Pac'],80,0.908
Nothing Else Matters,['Metallica'],80,0.362
Bitter Sweet Symphony,['The Verve'],80,0.917
Everlong,['Foo Fighters'],79,0.881
Hypnotize - 2014 Remaster,['The Notorious B.I.G.'],79,0.697
Iris,['The Goo Goo Dolls'],79,0.715
The Kids Aren't Alright,['The Offspring'],79,0.943
Ruff Ryders' Anthem,['DMX'],79,0.577
Wonderwall - Remastered,['Oasis'],79,0.896
Big Poppa - 2005 Remaster,['The Notorious B.I.G.'],79,0.575
Juicy - 2005 Remaster,['The Notorious B.I.G.'],79,0.818
Wind Of Change,['Scorpions'],79,0.524
Killing In The Name,['Rage Against The Machine'],79,0.833
It Was A Good Day,['Ice Cube'],79,0.744
Come As You Are,['Nirvana'],79,0.824
Around the World,['Daft Punk'],78,0.795
I Will Always Love You,['Whitney Houston'],78,0.214
Killing Me Softly With His Song,"['Fugees', 'Ms. Lauryn Hill']",78,0.29
One,['U2'],78,0.534
Careless Whisper,['George Michael'],78,0.629
All Eyez On Me (ft. Big Syke),"['2Pac', 'Big Syke']",78,0.719
Santeria,['Sublime'],78,0.765
Smells Like Teen Spirit,['Nirvana'],78,0.912
Knockin' On Heaven's Door,"[""Guns N' Roses""]",78,0.739
"Take Me Home, Country Roads",['John Denver'],78,0.43
"It Must Have Been Love - From the Film ""Pretty Woman""",['Roxette'],78,0.652
Mr. Jones,['Counting Crows'],78,0.817
Song 2 - 2012 Remaster,['Blur'],77,0.789
1979 - Remastered 2012,['The Smashing Pumpkins'],77,0.787
Good Riddance (Time of Your Life),['Green Day'],77,0.432
Procura,"['ChiChi Peralta', 'Jandy Feliz']",77,0.757
Kiss Me,['Sixpence None The Richer'],77,0.749
Black Hole Sun,['Soundgarden'],77,0.828
Lamento Boliviano,['Los Enanitos Verdes'],77,0.735
No Diggity,"['Blackstreet', 'Dr. Dre', 'Queen Pen']",77,0.646
Corazón partío,['Alejandro Sanz'],77,0.846
Lemon Tree,['Fools Garden'],77,0.475
Heart-Shaped Box,['Nirvana'],77,0.641
Believe,['Cher'],77,0.917
Linger,['The Cranberries'],77,0.434
(Everything I Do) I Do It For You,['Bryan Adams'],77,0.36
When I Come Around,['Green Day'],76,0.909
Wonderwall - Remastered,['Oasis'],76,0.893
Regulate,"['Warren G', 'Nate Dogg']",76,0.521
Wonderwall,['Oasis'],76,0.854
Alive,['Pearl Jam'],76,0.875
Semi-Charmed Life,['Third Eye Blind'],76,0.864
"My Heart Will Go On - Love Theme from ""Titanic""",['Céline Dion'],76,0.276
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,"['The Notorious B.I.G.', 'Mase', 'Diddy']",76,0.884
"Shook Ones, Pt. II",['Mobb Deep'],76,0.786
