name,artists,popularity,liveness
Creep,['Radiohead'],83,0.129
Gangsta's Paradise,"['Coolio', 'L.V.']",83,0.398
Losing My Religion,['R.E.M.'],83,0.0987
Smells Like Teen Spirit,['Nirvana'],83,0.106
Thunderstruck,['AC/DC'],83,0.217
November Rain,"[""Guns N' Roses""]",81,0.112
What's Up?,['4 Non Blondes'],81,0.114
Wannabe,['Spice Girls'],81,0.162
Zombie,['The Cranberries'],81,0.366
Under the Bridge,['Red Hot Chili Peppers'],81,0.141
Basket Case,['Green Day'],80,0.091
Enter Sandman,['Metallica'],80,0.0581
Ambitionz Az A Ridah,['2Pac'],80,0.0698
Nothing Else Matters,['Metallica'],80,0.075
Bitter Sweet Symphony,['The Verve'],80,0.406
Everlong,['Foo Fighters'],79,0.0805
Hypnotize - 2014 Remaster,['The Notorious B.I.G.'],79,0.287
Iris,['The Goo Goo Dolls'],79,0.0942
The Kids Aren't Alright,['The Offspring'],79,0.0579
Ruff Ryders' Anthem,['DMX'],79,0.201
Wonderwall - Remastered,['Oasis'],79,0.194
Big Poppa - 2005 Remaster,['The Notorious B.I.G.'],79,0.143
Juicy - 2005 Remaster,['The Notorious B.I.G.'],79,0.179
Wind Of Change,['Scorpions'],79,0.103
Killing In The Name,['Rage Against The Machine'],79,0.0327
It Was A Good Day,['Ice Cube'],79,0.292
Come As You Are,['Nirvana'],79,0.0916
Around the World,['Daft Punk'],78,0.0906
I Will Always Love You,['Whitney Houston'],78,0.0839
Killing Me Softly With His Song,"['Fugees', 'Ms. Lauryn Hill']",78,0.571
One,['U2'],78,0.155
Careless Whisper,['George Michael'],78,0.271
All Eyez On Me (ft. Big Syke),"['2Pac', 'Big Syke']",78,0.333
Santeria,['Sublime'],78,0.188
Smells Like Teen Spirit,['Nirvana'],78,0.106
Knockin' On Heaven's Door,"[""Guns N' Roses""]",78,0.106
"Take Me Home, Country Roads",['John Denver'],78,0.188
"It Must Have Been Love - From the Film ""Pretty Woman""",['Roxette'],78,0.256
Mr. Jones,['Counting Crows'],78,0.285
Song 2 - 2012 Remaster,['Blur'],77,0.0754
1979 - Remastered 2012,['The Smashing Pumpkins'],77,0.0513
Good Riddance (Time of Your Life),['Green Day'],77,0.161
Procura,"['ChiChi Peralta', 'Jandy Feliz']",77,0.101
Kiss Me,['Sixpence None The Richer'],77,0.0692
Black Hole Sun,['Soundgarden'],77,0.0774
Lamento Boliviano,['Los Enanitos Verdes'],77,0.115
No Diggity,"['Blackstreet', 'Dr. Dre', 'Queen Pen']",77,0.279
Corazón partío,['Alejandro Sanz'],77,0.0803
Lemon Tree,['Fools Garden'],77,0.122
Heart-Shaped Box,['Nirvana'],77,0.0853
Believe,['Cher'],77,0.0509
Linger,['The Cranberries'],77,0.14
(Everything I Do) I Do It For You,['Bryan Adams'],77,0.0631
When I Come Around,['Green Day'],76,0.231
Wonderwall - Remastered,['Oasis'],76,0.187
Regulate,"['Warren G', 'Nate Dogg']",76,0.115
Wonderwall,['Oasis'],76,0.133
Alive,['Pearl Jam'],76,0.402
Semi-Charmed Life,['Third Eye Blind'],76,0.123
"My Heart Will Go On - Love Theme from ""Titanic""",['Céline Dion'],76,0.117
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,"['The Notorious B.I.G.', 'Mase', 'Diddy']",76,0.203
"Shook Ones, Pt. II",['Mobb Deep'],76,0.0817
"Because You Loved Me (Theme from ""Up Close and Personal"")",['Céline Dion'],76,0.099
Say It Ain't So,['Weezer'],76,0.07
Even Flow,['Pearl Jam'],76,0.298
Friday I'm In Love,['The Cure'],76,0.359
Don't Cry (Original),"[""Guns N' Roses""]",76,0.104
Always,['Bon Jovi'],76,0.0778
Rasputin,['Boney M.'],76,0.595
"Nuthin' But A ""G"" Thang","['Dr. Dre', 'Snoop Dogg']",76,0.146
Everybody Hurts,['R.E.M.'],76,0.118
No Rain,['Blind Melon'],76,0.255
What's Love Got to Do with It,['Tina Turner'],76,0.0853
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],76,0.248
"Boom, Boom, Boom, Boom!!",['Vengaboys'],76,0.0244
Dragula,['Rob Zombie'],75,0.0781
Doo Wop (That Thing),['Ms. Lauryn Hill'],75,0.0923
You Get What You Give,['New Radicals'],75,0.0875
Freak On a Leash,['Korn'],75,0.39
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",['Eric Carmen'],75,0.118
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],75,0.216
More Than Words,['Extreme'],75,0.114
Karma Police,['Radiohead'],75,0.172
Truly Madly Deeply,['Savage Garden'],75,0.0851
You're Still The One,['Shania Twain'],75,0.0886
Flaca,['Andrés Calamaro'],75,0.127
Torn,['Natalie Imbruglia'],75,0.709
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",['Eric Clapton'],75,0.701
Come As You Are,['Nirvana'],75,0.0916
Fade Into You,['Mazzy Star'],75,0.0677
Are You Gonna Go My Way,['Lenny Kravitz'],75,0.331
To Be With You - 2010 Remastered Version,['Mr. Big'],75,0.133
Bulls On Parade,['Rage Against The Machine'],75,0.424
Dreams,['The Cranberries'],75,0.421
Black,['Pearl Jam'],75,0.34
Crazy,['Aerosmith'],75,0.137
Gin N Juice (feat. Dat Nigga Daz),"['Snoop Dogg', 'Daz Dillinger']",75,0.618
You Know How We Do It - Remastered,['Ice Cube'],75,0.142
Jump Around,['House Of Pain'],75,0.166
The Man Who Sold The World,['Nirvana'],75,0.257
Enter Sandman,['Metallica'],75,0.059
I Got 5 On It,"['Luniz', 'Michael Marshall']",75,0.125
Send Me on My Way,['Rusted Root'],74,0.139
Bed Of Roses,['Bon Jovi'],74,0.21
Oye Mi Amor,['Maná'],74,0.0862
Hasta Que Me Olvides,['Luis Miguel'],74,0.169
Pretty Fly (For A White Guy),['The Offspring'],74,0.0717
Enjoy the Silence,['Depeche Mode'],74,0.0782
Nothing Compares 2 U,"[""Sinéad O'Connor""]",74,0.105
Abrázame Muy Fuerte,['Juan Gabriel'],74,0.126
More Than Words,['Extreme'],74,0.113
U Can't Touch This,['MC Hammer'],74,0.0864
Man in the Box,['Alice In Chains'],74,0.0969
Walk,['Pantera'],74,0.0933
C.R.E.A.M.,['Wu-Tang Clan'],74,0.127
Shape Of My Heart,['Sting'],74,0.083
Clavado En Un Bar,['Maná'],74,0.0664
Breakfast At Tiffany's,['Deep Blue Something'],74,0.0954
Return of the Mack,['Mark Morrison'],74,0.164
Down Under,['Men At Work'],74,0.0534
I Have Nothing,['Whitney Houston'],74,0.164
The Unforgiven,['Metallica'],74,0.253
Desvelado,['Bobby Pulido'],74,0.199
Always Be My Baby,['Mariah Carey'],74,0.249
High and Dry,['Radiohead'],74,0.0896
Give It Away,['Red Hot Chili Peppers'],74,0.153
Buddy Holly,['Weezer'],74,0.117
Do For Love,['2Pac'],74,0.0582
Sabotage,['Beastie Boys'],74,0.0961
Kiss from a Rose,['Seal'],74,0.306
All That She Wants,['Ace of Base'],74,0.103
Ordinary World,['Duran Duran'],74,0.14
Everybody (Backstreet's Back) - Radio Edit,['Backstreet Boys'],74,0.268
Man! I Feel Like A Woman!,['Shania Twain'],74,0.278
La flaca,['Jarabe De Palo'],74,0.0809
Angels,['Robbie Williams'],74,0.1
Don't Speak,['No Doubt'],74,0.156
What I Got,['Sublime'],74,0.314
No Surprises,['Radiohead'],73,0.113
California Love - Original Version,"['2Pac', 'Roger', 'Dr. Dre']",73,0.371
Symphony Of Destruction,['Megadeth'],73,0.0657
Tatuajes,['Joan Sebastian'],73,0.131
Hallelujah,['Jeff Buckley'],73,0.176
Learning To Fly,['Tom Petty and the Heartbreakers'],73,0.362
Jeremy,['Pearl Jam'],73,0.182
Shiny Happy People,['R.E.M.'],73,0.23
Lithium,['Nirvana'],73,0.0631
Whiskey In The Jar,['Metallica'],73,0.18
One Week,['Barenaked Ladies'],73,0.0917
Amor Prohibido,['Selena'],73,0.142
Why Don't You Get A Job,['The Offspring'],73,0.281
Ready or Not,"['Fugees', 'Ms. Lauryn Hill', 'Wyclef Jean', 'Pras']",73,0.0839
Save Tonight,['Eagle-Eye Cherry'],73,0.285
Lovefool,['The Cardigans'],73,0.35
Insane in the Brain,['Cypress Hill'],73,0.0894
Cryin',['Aerosmith'],73,0.367
Fields Of Gold,['Sting'],73,0.0739
The Beautiful People,['Marilyn Manson'],73,0.0611
Interstate Love Song - 2019 Remaster,['Stone Temple Pilots'],73,0.126
La Media Vuelta,['Luis Miguel'],73,0.0994
Coco Jamboo,['Mr. President'],73,0.152
Barbie Girl,['Aqua'],73,0.366
Dear Mama,['2Pac'],73,0.131
"Love Is All Around - From ""Four Weddings And A Funeral""",['Wet Wet Wet'],73,0.109
Du hast,['Rammstein'],73,0.332
De Música Ligera - Remasterizado 2007,['Soda Stereo'],73,0.272
I'll Stand by You,"['Pretenders', 'Bob Clearmountain']",73,0.0754
Amiga mía,['Alejandro Sanz'],73,0.11
Freed From Desire,['Gala'],73,0.0992
Fantasy,['Mariah Carey'],73,0.123
Bullet With Butterfly Wings - Remastered 2012,['The Smashing Pumpkins'],73,0.0466
Streets of Philadelphia - Single Edit,['Bruce Springsteen'],73,0.0924
