name,artists,popularity,tempo
Creep,['Radiohead'],83,91.844
Gangsta's Paradise,"['Coolio', 'L.V.']",83,79.974
Losing My Religion,['R.E.M.'],83,125.639
Smells Like Teen Spirit,['Nirvana'],83,116.761
Thunderstruck,['AC/DC'],83,133.52
November Rain,"[""Guns N' Roses""]",81,79.759
What's Up?,['4 Non Blondes'],81,134.355
Wannabe,['Spice Girls'],81,110.008
Zombie,['The Cranberries'],81,166.973
Under the Bridge,['Red Hot Chili Peppers'],81,84.581
Basket Case,['Green Day'],80,85.064
Enter Sandman,['Metallica'],80,123.257
Ambitionz Az A Ridah,['2Pac'],80,87.279
Nothing Else Matters,['Metallica'],80,142.352
Bitter Sweet Symphony,['The Verve'],80,171.176
Everlong,['Foo Fighters'],79,158.066
Hypnotize - 2014 Remaster,['The Notorious B.I.G.'],79,93.941
Iris,['The Goo Goo Dolls'],79,155.925
The Kids Aren't Alright,['The Offspring'],79,99.607
Ruff Ryders' Anthem,['DMX'],79,90.991
Wonderwall - Remastered,['Oasis'],79,174.302
Big Poppa - 2005 Remaster,['The Notorious B.I.G.'],79,84.492
Juicy - 2005 Remaster,['The Notorious B.I.G.'],79,96.063
Wind Of Change,['Scorpions'],79,151.505
Killing In The Name,['Rage Against The Machine'],79,88.785
It Was A Good Day,['Ice Cube'],79,82.356
Come As You Are,['Nirvana'],79,120.125
Around the World,['Daft Punk'],78,121.294
I Will Always Love You,['Whitney Houston'],78,67.531
Killing Me Softly With His Song,"['Fugees', 'Ms. Lauryn Hill']",78,92.409
One,['U2'],78,181.305
Careless Whisper,['George Michael'],78,153.119
All Eyez On Me (ft. Big Syke),"['2Pac', 'Big Syke']",78,93.281
Santeria,['Sublime'],78,90.807
Smells Like Teen Spirit,['Nirvana'],78,116.761
Knockin' On Heaven's Door,"[""Guns N' Roses""]",78,132.41
"Take Me Home, Country Roads",['John Denver'],78,164.267
"It Must Have Been Love - From the Film ""Pretty Woman""",['Roxette'],78,80.609
Mr. Jones,['Counting Crows'],78,141.621
Song 2 - 2012 Remaster,['Blur'],77,129.804
1979 - Remastered 2012,['The Smashing Pumpkins'],77,126.879
Good Riddance (Time of Your Life),['Green Day'],77,94.605
Procura,"['ChiChi Peralta', 'Jandy Feliz']",77,102.14
Kiss Me,['Sixpence None The Richer'],77,99.982
Black Hole Sun,['Soundgarden'],77,105.435
Lamento Boliviano,['Los Enanitos Verdes'],77,123.57
No Diggity,"['Blackstreet', 'Dr. Dre', 'Queen Pen']",77,88.634
Corazón partío,['Alejandro Sanz'],77,160.075
Lemon Tree,['Fools Garden'],77,143.175
Heart-Shaped Box,['Nirvana'],77,203.006
Believe,['Cher'],77,132.975
Linger,['The Cranberries'],77,94.845
(Everything I Do) I Do It For You,['Bryan Adams'],77,131.229
When I Come Around,['Green Day'],76,97.546
Wonderwall - Remastered,['Oasis'],76,174.323
Regulate,"['Warren G', 'Nate Dogg']",76,95.265
Wonderwall,['Oasis'],76,174.584
Alive,['Pearl Jam'],76,75.009
Semi-Charmed Life,['Third Eye Blind'],76,102.026
"My Heart Will Go On - Love Theme from ""Titanic""",['Céline Dion'],76,99.195
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,"['The Notorious B.I.G.', 'Mase', 'Diddy']",76,104.536
"Shook Ones, Pt. II",['Mobb Deep'],76,93.857
"Because You Loved Me (Theme from ""Up Close and Personal"")",['Céline Dion'],76,119.919
Say It Ain't So,['Weezer'],76,151.779
Even Flow,['Pearl Jam'],76,105.338
Friday I'm In Love,['The Cure'],76,136.205
Don't Cry (Original),"[""Guns N' Roses""]",76,124.635
Always,['Bon Jovi'],76,140.795
Rasputin,['Boney M.'],76,126.005
"Nuthin' But A ""G"" Thang","['Dr. Dre', 'Snoop Dogg']",76,94.605
Everybody Hurts,['R.E.M.'],76,94.301
No Rain,['Blind Melon'],76,148.117
What's Love Got to Do with It,['Tina Turner'],76,97.84
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],76,121.154
"Boom, Boom, Boom, Boom!!",['Vengaboys'],76,138.479
Dragula,['Rob Zombie'],75,125.03
Doo Wop (That Thing),['Ms. Lauryn Hill'],75,99.935
You Get What You Give,['New Radicals'],75,113.967
Freak On a Leash,['Korn'],75,103.293
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",['Eric Carmen'],75,109.882
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],75,121.16
More Than Words,['Extreme'],75,91.625
Karma Police,['Radiohead'],75,74.807
Truly Madly Deeply,['Savage Garden'],75,168.12
You're Still The One,['Shania Twain'],75,133.822
Flaca,['Andrés Calamaro'],75,109.326
Torn,['Natalie Imbruglia'],75,96.31
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",['Eric Clapton'],75,79.109
Come As You Are,['Nirvana'],75,120.125
Fade Into You,['Mazzy Star'],75,157.143
Are You Gonna Go My Way,['Lenny Kravitz'],75,129.269
To Be With You - 2010 Remastered Version,['Mr. Big'],75,83.635
Bulls On Parade,['Rage Against The Machine'],75,166.367
Dreams,['The Cranberries'],75,128.661
Black,['Pearl Jam'],75,77.15
