name,artists,popularity,valence
Creep,['Radiohead'],83,0.104
Gangsta's Paradise,"['Coolio', 'L.V.']",83,0.387
Losing My Religion,['R.E.M.'],83,0.803
Smells Like Teen Spirit,['Nirvana'],83,0.72
Thunderstruck,['AC/DC'],83,0.259
November Rain,"[""Guns N' Roses""]",81,0.226
What's Up?,['4 Non Blondes'],81,0.454
Wannabe,['Spice Girls'],81,0.891
Zombie,['The Cranberries'],81,0.304
Under the Bridge,['Red Hot Chili Peppers'],81,0.458
Basket Case,['Green Day'],80,0.781
Enter Sandman,['Metallica'],80,0.604
Ambitionz Az A Ridah,['2Pac'],80,0.805
Nothing Else Matters,['Metallica'],80,0.158
Bitter Sweet Symphony,['The Verve'],80,0.518
Everlong,['Foo Fighters'],79,0.364
Hypnotize - 2014 Remaster,['The Notorious B.I.G.'],79,0.67
Iris,['The Goo Goo Dolls'],79,0.497
The Kids Aren't Alright,['The Offspring'],79,0.766
Ruff Ryders' Anthem,['DMX'],79,0.74
Wonderwall - Remastered,['Oasis'],79,0.469
Big Poppa - 2005 Remaster,['The Notorious B.I.G.'],79,0.773
Juicy - 2005 Remaster,['The Notorious B.I.G.'],79,0.782
Wind Of Change,['Scorpions'],79,0.246
Killing In The Name,['Rage Against The Machine'],79,0.661
It Was A Good Day,['Ice Cube'],79,0.794
Come As You Are,['Nirvana'],79,0.539
Around the World,['Daft Punk'],78,0.841
I Will Always Love You,['Whitney Houston'],78,0.11
Killing Me Softly With His Song,"['Fugees', 'Ms. Lauryn Hill']",78,0.506
One,['U2'],78,0.325
Careless Whisper,['George Michael'],78,0.786
All Eyez On Me (ft. Big Syke),"['2Pac', 'Big Syke']",78,0.858
Santeria,['Sublime'],78,0.567
Smells Like Teen Spirit,['Nirvana'],78,0.72
Knockin' On Heaven's Door,"[""Guns N' Roses""]",78,0.378
"Take Me Home, Country Roads",['John Denver'],78,0.546
"It Must Have Been Love - From the Film ""Pretty Woman""",['Roxette'],78,0.722
Mr. Jones,['Counting Crows'],78,0.726
Song 2 - 2012 Remaster,['Blur'],77,0.918
1979 - Remastered 2012,['The Smashing Pumpkins'],77,0.964
Good Riddance (Time of Your Life),['Green Day'],77,0.648
Procura,"['ChiChi Peralta', 'Jandy Feliz']",77,0.973
Kiss Me,['Sixpence None The Richer'],77,0.421
Black Hole Sun,['Soundgarden'],77,0.147
Lamento Boliviano,['Los Enanitos Verdes'],77,0.68
No Diggity,"['Blackstreet', 'Dr. Dre', 'Queen Pen']",77,0.67
Corazón partío,['Alejandro Sanz'],77,0.815
Lemon Tree,['Fools Garden'],77,0.644
Heart-Shaped Box,['Nirvana'],77,0.382
Believe,['Cher'],77,0.459
Linger,['The Cranberries'],77,0.204
(Everything I Do) I Do It For You,['Bryan Adams'],77,0.299
When I Come Around,['Green Day'],76,0.814
Wonderwall - Remastered,['Oasis'],76,0.434
Regulate,"['Warren G', 'Nate Dogg']",76,0.763
Wonderwall,['Oasis'],76,0.456
Alive,['Pearl Jam'],76,0.595
Semi-Charmed Life,['Third Eye Blind'],76,0.701
"My Heart Will Go On - Love Theme from ""Titanic""",['Céline Dion'],76,0.0382
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,"['The Notorious B.I.G.', 'Mase', 'Diddy']",76,0.904
"Shook Ones, Pt. II",['Mobb Deep'],76,0.504
"Because You Loved Me (Theme from ""Up Close and Personal"")",['Céline Dion'],76,0.177
Say It Ain't So,['Weezer'],76,0.453
Even Flow,['Pearl Jam'],76,0.265
Friday I'm In Love,['The Cure'],76,0.514
Don't Cry (Original),"[""Guns N' Roses""]",76,0.243
Always,['Bon Jovi'],76,0.327
Rasputin,['Boney M.'],76,0.97
"Nuthin' But A ""G"" Thang","['Dr. Dre', 'Snoop Dogg']",76,0.655
Everybody Hurts,['R.E.M.'],76,0.166
No Rain,['Blind Melon'],76,0.566
What's Love Got to Do with It,['Tina Turner'],76,0.792
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],76,0.138
"Boom, Boom, Boom, Boom!!",['Vengaboys'],76,0.968
Dragula,['Rob Zombie'],75,0.609
Doo Wop (That Thing),['Ms. Lauryn Hill'],75,0.495
You Get What You Give,['New Radicals'],75,0.744
Freak On a Leash,['Korn'],75,0.525
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",['Eric Carmen'],75,0.552
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],75,0.144
More Than Words,['Extreme'],75,0.237
Karma Police,['Radiohead'],75,0.324
Truly Madly Deeply,['Savage Garden'],75,0.816
You're Still The One,['Shania Twain'],75,0.634
Flaca,['Andrés Calamaro'],75,0.949
Torn,['Natalie Imbruglia'],75,0.609
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",['Eric Clapton'],75,0.422
Come As You Are,['Nirvana'],75,0.539
Fade Into You,['Mazzy Star'],75,0.175
Are You Gonna Go My Way,['Lenny Kravitz'],75,0.777
To Be With You - 2010 Remastered Version,['Mr. Big'],75,0.45
Bulls On Parade,['Rage Against The Machine'],75,0.572
Dreams,['The Cranberries'],75,0.514
Black,['Pearl Jam'],75,0.2
Crazy,['Aerosmith'],75,0.427
Gin N Juice (feat. Dat Nigga Daz),"['Snoop Dogg', 'Daz Dillinger']",75,0.346
You Know How We Do It - Remastered,['Ice Cube'],75,0.601
Jump Around,['House Of Pain'],75,0.818
The Man Who Sold The World,['Nirvana'],75,0.42
Enter Sandman,['Metallica'],75,0.635
I Got 5 On It,"['Luniz', 'Michael Marshall']",75,0.58
Send Me on My Way,['Rusted Root'],74,0.745
Bed Of Roses,['Bon Jovi'],74,0.161
Oye Mi Amor,['Maná'],74,0.962
Hasta Que Me Olvides,['Luis Miguel'],74,0.437
Pretty Fly (For A White Guy),['The Offspring'],74,0.963
Enjoy the Silence,['Depeche Mode'],74,0.752
Nothing Compares 2 U,"[""Sinéad O'Connor""]",74,0.161
Abrázame Muy Fuerte,['Juan Gabriel'],74,0.312
More Than Words,['Extreme'],74,0.239
U Can't Touch This,['MC Hammer'],74,0.866
Man in the Box,['Alice In Chains'],74,0.758
Walk,['Pantera'],74,0.703
C.R.E.A.M.,['Wu-Tang Clan'],74,0.576
Shape Of My Heart,['Sting'],74,0.244
Clavado En Un Bar,['Maná'],74,0.564
Breakfast At Tiffany's,['Deep Blue Something'],74,0.539
Return of the Mack,['Mark Morrison'],74,0.612
Down Under,['Men At Work'],74,0.891
I Have Nothing,['Whitney Houston'],74,0.24
The Unforgiven,['Metallica'],74,0.244
Desvelado,['Bobby Pulido'],74,0.899
Always Be My Baby,['Mariah Carey'],74,0.487
High and Dry,['Radiohead'],74,0.35
Give It Away,['Red Hot Chili Peppers'],74,0.776
Buddy Holly,['Weezer'],74,0.771
Do For Love,['2Pac'],74,0.717
Sabotage,['Beastie Boys'],74,0.543
Kiss from a Rose,['Seal'],74,0.224
