Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",0.677,0.696,0.42,0.321,0.464,90.03,2021
drivers license,['Olivia Rodrigo'],0.585,0.436,0.105,0.721,0.132,143.874,2021
Astronaut In The Ocean,['Masked Wolf'],0.778,0.695,0.15,0.175,0.472,149.996,2021
Save Your Tears,['The Weeknd'],0.68,0.826,0.543,0.0212,0.644,118.051,2020
telepatía,['Kali Uchis'],0.653,0.524,0.203,0.112,0.553,83.97,2020
Blinding Lights,['The Weeknd'],0.514,0.73,0.0897,0.00146,0.334,171.005,2020
Leave The Door Open,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",0.586,0.616,0.0927,0.182,0.719,148.088,2021
The Business,['Tiësto'],0.798,0.62,0.112,0.414,0.235,120.031,2020
Streets,['Doja Cat'],0.749,0.463,0.337,0.208,0.19,90.028,2019
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"['Riton', 'Nightcrawlers', 'Mufasa & Hypeman', 'Dopamine']",0.824,0.862,0.303,0.0076,0.801,122.98,2021
Heartbreak Anniversary,['Giveon'],0.449,0.465,0.303,0.524,0.543,89.087,2020
WITHOUT YOU,['The Kid LAROI'],0.662,0.413,0.134,0.213,0.467,93.005,2020
Bandido,"['Myke Towers', 'Juhn']",0.713,0.617,0.0962,0.122,0.682,168.021,2020
Fiel,"['Los Legendarios', 'Wisin', 'Jhay Cortez']",0.849,0.701,0.112,0.407,0.505,98.005,2021
LA NOCHE DE ANOCHE,"['Bad Bunny', 'ROSALÍA']",0.856,0.618,0.0866,0.0303,0.391,81.993,2020
Good Days,['SZA'],0.436,0.655,0.688,0.499,0.412,121.002,2020
Ella No Es Tuya - Remix,"['Rochy RD', 'Myke Towers', 'Nicki Nicole']",0.585,0.611,0.649,0.39,0.962,97.041,2021
Up,['Cardi B'],0.868,0.795,0.0461,0.0012,0.819,166.0,2021
Goosebumps - Remix,"['Travis Scott', 'HVME']",0.841,0.593,0.124,0.418,0.808,124.917,2021
Hold On,['Justin Bieber'],0.658,0.634,0.132,0.0106,0.29,139.98,2021
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"['Nathan Evans', '220 KID', 'Billen Ted']",0.722,0.893,0.0673,0.0441,0.439,119.932,2021
Hecha Pa' Mi,['Boza'],0.725,0.756,0.103,0.362,0.828,100.07,2020
Paradise (feat. Dermot Kennedy),"['MEDUZA', 'Dermot Kennedy']",0.632,0.595,0.209,0.0689,0.435,124.114,2020
positions,['Ariana Grande'],0.737,0.802,0.0931,0.468,0.682,144.015,2020
