name,artists,popularity,acousticness
Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",100,0.321
drivers license,['Olivia Rodrigo'],99,0.721
Astronaut In The Ocean,['Masked Wolf'],98,0.175
Save Your Tears,['The Weeknd'],97,0.0212
telepatía,['Kali Uchis'],97,0.112
Blinding Lights,['The Weeknd'],96,0.00146
Leave The Door Open,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",96,0.182
The Business,['Tiësto'],95,0.414
Streets,['Doja Cat'],94,0.208
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"['Riton', 'Nightcrawlers', 'Mufasa & Hypeman', 'Dopamine']",94,0.0076
Heartbreak Anniversary,['Giveon'],94,0.524
WITHOUT YOU,['The Kid LAROI'],94,0.213
Bandido,"['Myke Towers', 'Juhn']",94,0.122
Fiel,"['Los Legendarios', 'Wisin', 'Jhay Cortez']",94,0.407
LA NOCHE DE ANOCHE,"['Bad Bunny', 'ROSALÍA']",93,0.0303
Good Days,['SZA'],93,0.499
Ella No Es Tuya - Remix,"['Rochy RD', 'Myke Towers', 'Nicki Nicole']",92,0.39
Up,['Cardi B'],92,0.0012
Goosebumps - Remix,"['Travis Scott', 'HVME']",92,0.418
Hold On,['Justin Bieber'],92,0.0106
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"['Nathan Evans', '220 KID', 'Billen Ted']",92,0.0441
Hecha Pa' Mi,['Boza'],92,0.362
Paradise (feat. Dermot Kennedy),"['MEDUZA', 'Dermot Kennedy']",92,0.0689
positions,['Ariana Grande'],92,0.468
Watermelon Sugar,['Harry Styles'],92,0.122
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",92,0.401
Dynamite,['BTS'],91,0.0112
you broke me first,['Tate McRae'],91,0.785
BICHOTA,['KAROL G'],91,0.212
34+35,['Ariana Grande'],91,0.237
ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",91,0.247
Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",91,0.168
What You Know Bout Love,['Pop Smoke'],91,0.65
911,['Sech'],91,0.076
Your Love (9PM),"['ATB', 'Topic', 'A7S']",91,0.194
What’s Next,['Drake'],91,0.0136
We're Good,['Dua Lipa'],91,0.0319
WAP (feat. Megan Thee Stallion),"['Cardi B', 'Megan Thee Stallion']",90,0.0194
Baila Conmigo (with Rauw Alejandro),"['Selena Gomez', 'Rauw Alejandro']",90,0.0215
Best Friend (feat. Doja Cat),"['Saweetie', 'Doja Cat']",90,0.00302
Sweater Weather,['The Neighbourhood'],90,0.0495
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",90,0.401
deja vu,['Olivia Rodrigo'],90,0.593
Beautiful Mistakes (feat. Megan Thee Stallion),"['Maroon 5', 'Megan Thee Stallion']",90,0.0377
Anyone,['Justin Bieber'],90,0.181
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",90,0.00883
Therefore I Am,['Billie Eilish'],90,0.218
My Head & My Heart,['Ava Max'],90,0.0697
Someone You Loved,['Lewis Capaldi'],90,0.751
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",89,0.00883
Circles,['Post Malone'],89,0.192
Arcade,['Duncan Laurence'],89,0.818
Batom de Cereja - Ao Vivo,['Israel & Rodolffo'],89,0.556
Wants and Needs (feat. Lil Baby),"['Drake', 'Lil Baby']",89,0.0618
Life Goes On,['BTS'],89,0.00691
Heather,['Conan Gray'],89,0.584
Whoopty,['CJ'],89,0.2
GIRL LIKE ME,"['Black Eyed Peas', 'Shakira']",89,0.0206
lovely (with Khalid),"['Billie Eilish', 'Khalid']",89,0.934
For The Night (feat. Lil Baby & DaBaby),"['Pop Smoke', 'Lil Baby', 'DaBaby']",89,0.114
HOLIDAY,['Lil Nas X'],89,0.12
La Nota,"['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",89,0.18
Goosebumps,['HVME'],89,0.325
death bed (coffee for your head),"['Powfu', 'beabadoobee']",89,0.731
RAPSTAR,['Polo G'],89,0.41
goosebumps,['Travis Scott'],88,0.0847
Hold On,['Justin Bieber'],88,0.0104
Laugh Now Cry Later (feat. Lil Durk),"['Drake', 'Lil Durk']",88,0.244
Adore You,['Harry Styles'],88,0.0237
bad guy,['Billie Eilish'],88,0.328
Film out,['BTS'],88,0.296
Believer,['Imagine Dragons'],88,0.0622
No Te Enamores - Remix,"['Milly', 'Farruko', 'Nio Garcia', 'Jay Wheeler', 'Amenazzy']",88,0.573
TE MUDASTE,['Bad Bunny'],88,0.234
Relación - Remix,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",88,0.0337
Afterglow,['Ed Sheeran'],88,0.698
Golden,['Harry Styles'],88,0.21
Dance Monkey,['Tones And I'],88,0.692
Martin & Gina,['Polo G'],88,0.345
Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']",88,0.0167
The Box,['Roddy Ricch'],88,0.104
Memories,['Maroon 5'],88,0.837
Lucid Dreams,['Juice WRLD'],88,0.349
Breaking Me,"['Topic', 'A7S']",88,0.223
everything i wanted,['Billie Eilish'],87,0.902
Train Wreck,['James Arthur'],87,0.701
7 rings,['Ariana Grande'],87,0.592
Ride It,['Regard'],87,0.177
BED,"['Joel Corry', 'RAYE', 'David Guetta']",87,0.0142
Robbery,['Juice WRLD'],87,0.328
Follow You,['Imagine Dragons'],87,0.00209
Falling,['Harry Styles'],87,0.839
SICKO MODE,['Travis Scott'],87,0.00513
Say You Won't Let Go,['James Arthur'],87,0.695
SAD!,['XXXTENTACION'],87,0.258
All Girls Are The Same,['Juice WRLD'],87,0.0769
Tapão Na Raba,['Raí Saia Rodada'],87,0.462
Take You Dancing,['Jason Derulo'],87,0.0332
Facas - Ao Vivo,"['Diego & Victor Hugo', 'Bruno & Marrone']",87,0.615
