name,artists,popularity,danceability
Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",100,0.677
drivers license,['Olivia Rodrigo'],99,0.585
Astronaut In The Ocean,['Masked Wolf'],98,0.778
Save Your Tears,['The Weeknd'],97,0.68
telepatía,['Kali Uchis'],97,0.653
Blinding Lights,['The Weeknd'],96,0.514
Leave The Door Open,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",96,0.586
The Business,['Tiësto'],95,0.798
Streets,['Doja Cat'],94,0.749
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"['Riton', 'Nightcrawlers', 'Mufasa & Hypeman', 'Dopamine']",94,0.824
Heartbreak Anniversary,['Giveon'],94,0.449
WITHOUT YOU,['The Kid LAROI'],94,0.662
Bandido,"['Myke Towers', 'Juhn']",94,0.713
Fiel,"['Los Legendarios', 'Wisin', 'Jhay Cortez']",94,0.849
LA NOCHE DE ANOCHE,"['Bad Bunny', 'ROSALÍA']",93,0.856
Good Days,['SZA'],93,0.436
Ella No Es Tuya - Remix,"['Rochy RD', 'Myke Towers', 'Nicki Nicole']",92,0.585
Up,['Cardi B'],92,0.868
Goosebumps - Remix,"['Travis Scott', 'HVME']",92,0.841
Hold On,['Justin Bieber'],92,0.658
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"['Nathan Evans', '220 KID', 'Billen Ted']",92,0.722
Hecha Pa' Mi,['Boza'],92,0.725
Paradise (feat. Dermot Kennedy),"['MEDUZA', 'Dermot Kennedy']",92,0.632
positions,['Ariana Grande'],92,0.737
Watermelon Sugar,['Harry Styles'],92,0.548
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",92,0.731
Dynamite,['BTS'],91,0.746
you broke me first,['Tate McRae'],91,0.667
BICHOTA,['KAROL G'],91,0.863
34+35,['Ariana Grande'],91,0.83
ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",91,0.746
Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",91,0.734
What You Know Bout Love,['Pop Smoke'],91,0.709
911,['Sech'],91,0.795
Your Love (9PM),"['ATB', 'Topic', 'A7S']",91,0.669
What’s Next,['Drake'],91,0.781
We're Good,['Dua Lipa'],91,0.722
WAP (feat. Megan Thee Stallion),"['Cardi B', 'Megan Thee Stallion']",90,0.935
Baila Conmigo (with Rauw Alejandro),"['Selena Gomez', 'Rauw Alejandro']",90,0.823
Best Friend (feat. Doja Cat),"['Saweetie', 'Doja Cat']",90,0.84
Sweater Weather,['The Neighbourhood'],90,0.612
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",90,0.731
deja vu,['Olivia Rodrigo'],90,0.439
Beautiful Mistakes (feat. Megan Thee Stallion),"['Maroon 5', 'Megan Thee Stallion']",90,0.713
Anyone,['Justin Bieber'],90,0.686
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",90,0.702
Therefore I Am,['Billie Eilish'],90,0.889
My Head & My Heart,['Ava Max'],90,0.614
Someone You Loved,['Lewis Capaldi'],90,0.501
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",89,0.702
Circles,['Post Malone'],89,0.695
Arcade,['Duncan Laurence'],89,0.45
Batom de Cereja - Ao Vivo,['Israel & Rodolffo'],89,0.606
Wants and Needs (feat. Lil Baby),"['Drake', 'Lil Baby']",89,0.578
Life Goes On,['BTS'],89,0.566
