name,artists,popularity,energy
Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",100,0.696
drivers license,['Olivia Rodrigo'],99,0.436
Astronaut In The Ocean,['Masked Wolf'],98,0.695
Save Your Tears,['The Weeknd'],97,0.826
telepatía,['Kali Uchis'],97,0.524
Blinding Lights,['The Weeknd'],96,0.73
Leave The Door Open,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",96,0.616
The Business,['Tiësto'],95,0.62
Streets,['Doja Cat'],94,0.463
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"['Riton', 'Nightcrawlers', 'Mufasa & Hypeman', 'Dopamine']",94,0.862
Heartbreak Anniversary,['Giveon'],94,0.465
WITHOUT YOU,['The Kid LAROI'],94,0.413
Bandido,"['Myke Towers', 'Juhn']",94,0.617
Fiel,"['Los Legendarios', 'Wisin', 'Jhay Cortez']",94,0.701
LA NOCHE DE ANOCHE,"['Bad Bunny', 'ROSALÍA']",93,0.618
Good Days,['SZA'],93,0.655
Ella No Es Tuya - Remix,"['Rochy RD', 'Myke Towers', 'Nicki Nicole']",92,0.611
Up,['Cardi B'],92,0.795
Goosebumps - Remix,"['Travis Scott', 'HVME']",92,0.593
Hold On,['Justin Bieber'],92,0.634
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"['Nathan Evans', '220 KID', 'Billen Ted']",92,0.893
Hecha Pa' Mi,['Boza'],92,0.756
Paradise (feat. Dermot Kennedy),"['MEDUZA', 'Dermot Kennedy']",92,0.595
positions,['Ariana Grande'],92,0.802
Watermelon Sugar,['Harry Styles'],92,0.816
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",92,0.573
Dynamite,['BTS'],91,0.765
you broke me first,['Tate McRae'],91,0.373
BICHOTA,['KAROL G'],91,0.666
34+35,['Ariana Grande'],91,0.585
ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",91,0.69
Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",91,0.874
What You Know Bout Love,['Pop Smoke'],91,0.548
911,['Sech'],91,0.655
Your Love (9PM),"['ATB', 'Topic', 'A7S']",91,0.784
What’s Next,['Drake'],91,0.594
We're Good,['Dua Lipa'],91,0.588
WAP (feat. Megan Thee Stallion),"['Cardi B', 'Megan Thee Stallion']",90,0.454
Baila Conmigo (with Rauw Alejandro),"['Selena Gomez', 'Rauw Alejandro']",90,0.544
Best Friend (feat. Doja Cat),"['Saweetie', 'Doja Cat']",90,0.766
Sweater Weather,['The Neighbourhood'],90,0.807
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",90,0.573
deja vu,['Olivia Rodrigo'],90,0.61
Beautiful Mistakes (feat. Megan Thee Stallion),"['Maroon 5', 'Megan Thee Stallion']",90,0.676
Anyone,['Justin Bieber'],90,0.538
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",90,0.825
Therefore I Am,['Billie Eilish'],90,0.34
My Head & My Heart,['Ava Max'],90,0.934
Someone You Loved,['Lewis Capaldi'],90,0.405
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",89,0.825
Circles,['Post Malone'],89,0.762
Arcade,['Duncan Laurence'],89,0.329
Batom de Cereja - Ao Vivo,['Israel & Rodolffo'],89,0.908
Wants and Needs (feat. Lil Baby),"['Drake', 'Lil Baby']",89,0.449
Life Goes On,['BTS'],89,0.716
Heather,['Conan Gray'],89,0.425
Whoopty,['CJ'],89,0.648
GIRL LIKE ME,"['Black Eyed Peas', 'Shakira']",89,0.485
lovely (with Khalid),"['Billie Eilish', 'Khalid']",89,0.296
For The Night (feat. Lil Baby & DaBaby),"['Pop Smoke', 'Lil Baby', 'DaBaby']",89,0.586
HOLIDAY,['Lil Nas X'],89,0.511
