name,artists,popularity,liveness
Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",100,0.42
drivers license,['Olivia Rodrigo'],99,0.105
Astronaut In The Ocean,['Masked Wolf'],98,0.15
Save Your Tears,['The Weeknd'],97,0.543
telepatía,['Kali Uchis'],97,0.203
Blinding Lights,['The Weeknd'],96,0.0897
Leave The Door Open,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",96,0.0927
The Business,['Tiësto'],95,0.112
Streets,['Doja Cat'],94,0.337
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"['Riton', 'Nightcrawlers', 'Mufasa & Hypeman', 'Dopamine']",94,0.303
Heartbreak Anniversary,['Giveon'],94,0.303
WITHOUT YOU,['The Kid LAROI'],94,0.134
Bandido,"['Myke Towers', 'Juhn']",94,0.0962
Fiel,"['Los Legendarios', 'Wisin', 'Jhay Cortez']",94,0.112
LA NOCHE DE ANOCHE,"['Bad Bunny', 'ROSALÍA']",93,0.0866
Good Days,['SZA'],93,0.688
Ella No Es Tuya - Remix,"['Rochy RD', 'Myke Towers', 'Nicki Nicole']",92,0.649
Up,['Cardi B'],92,0.0461
Goosebumps - Remix,"['Travis Scott', 'HVME']",92,0.124
Hold On,['Justin Bieber'],92,0.132
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"['Nathan Evans', '220 KID', 'Billen Ted']",92,0.0673
Hecha Pa' Mi,['Boza'],92,0.103
Paradise (feat. Dermot Kennedy),"['MEDUZA', 'Dermot Kennedy']",92,0.209
positions,['Ariana Grande'],92,0.0931
Watermelon Sugar,['Harry Styles'],92,0.335
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",92,0.113
Dynamite,['BTS'],91,0.0936
you broke me first,['Tate McRae'],91,0.0906
BICHOTA,['KAROL G'],91,0.103
34+35,['Ariana Grande'],91,0.248
ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",91,0.101
Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",91,0.0489
What You Know Bout Love,['Pop Smoke'],91,0.133
911,['Sech'],91,0.296
Your Love (9PM),"['ATB', 'Topic', 'A7S']",91,0.115
What’s Next,['Drake'],91,0.162
We're Good,['Dua Lipa'],91,0.183
WAP (feat. Megan Thee Stallion),"['Cardi B', 'Megan Thee Stallion']",90,0.0824
Baila Conmigo (with Rauw Alejandro),"['Selena Gomez', 'Rauw Alejandro']",90,0.0966
Best Friend (feat. Doja Cat),"['Saweetie', 'Doja Cat']",90,0.0684
Sweater Weather,['The Neighbourhood'],90,0.101
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",90,0.113
deja vu,['Olivia Rodrigo'],90,0.341
Beautiful Mistakes (feat. Megan Thee Stallion),"['Maroon 5', 'Megan Thee Stallion']",90,0.154
Anyone,['Justin Bieber'],90,0.113
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",90,0.0674
Therefore I Am,['Billie Eilish'],90,0.055
My Head & My Heart,['Ava Max'],90,0.121
Someone You Loved,['Lewis Capaldi'],90,0.105
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",89,0.0674
Circles,['Post Malone'],89,0.0863
Arcade,['Duncan Laurence'],89,0.135
Batom de Cereja - Ao Vivo,['Israel & Rodolffo'],89,0.19
Wants and Needs (feat. Lil Baby),"['Drake', 'Lil Baby']",89,0.119
Life Goes On,['BTS'],89,0.37
Heather,['Conan Gray'],89,0.322
Whoopty,['CJ'],89,0.127
GIRL LIKE ME,"['Black Eyed Peas', 'Shakira']",89,0.0655
lovely (with Khalid),"['Billie Eilish', 'Khalid']",89,0.095
For The Night (feat. Lil Baby & DaBaby),"['Pop Smoke', 'Lil Baby', 'DaBaby']",89,0.193
HOLIDAY,['Lil Nas X'],89,0.0832
La Nota,"['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",89,0.349
Goosebumps,['HVME'],89,0.13
death bed (coffee for your head),"['Powfu', 'beabadoobee']",89,0.696
RAPSTAR,['Polo G'],89,0.129
goosebumps,['Travis Scott'],88,0.149
Hold On,['Justin Bieber'],88,0.12
Laugh Now Cry Later (feat. Lil Durk),"['Drake', 'Lil Durk']",88,0.107
Adore You,['Harry Styles'],88,0.102
bad guy,['Billie Eilish'],88,0.1
Film out,['BTS'],88,0.331
Believer,['Imagine Dragons'],88,0.081
No Te Enamores - Remix,"['Milly', 'Farruko', 'Nio Garcia', 'Jay Wheeler', 'Amenazzy']",88,0.271
TE MUDASTE,['Bad Bunny'],88,0.118
Relación - Remix,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",88,0.284
Afterglow,['Ed Sheeran'],88,0.328
Golden,['Harry Styles'],88,0.131
Dance Monkey,['Tones And I'],88,0.149
Martin & Gina,['Polo G'],88,0.165
Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']",88,0.353
The Box,['Roddy Ricch'],88,0.79
Memories,['Maroon 5'],88,0.0822
Lucid Dreams,['Juice WRLD'],88,0.34
Breaking Me,"['Topic', 'A7S']",88,0.129
everything i wanted,['Billie Eilish'],87,0.106
Train Wreck,['James Arthur'],87,0.0726
7 rings,['Ariana Grande'],87,0.0881
Ride It,['Regard'],87,0.106
BED,"['Joel Corry', 'RAYE', 'David Guetta']",87,0.333
Robbery,['Juice WRLD'],87,0.153
Follow You,['Imagine Dragons'],87,0.496
Falling,['Harry Styles'],87,0.089
SICKO MODE,['Travis Scott'],87,0.124
Say You Won't Let Go,['James Arthur'],87,0.0902
SAD!,['XXXTENTACION'],87,0.123
All Girls Are The Same,['Juice WRLD'],87,0.0856
Tapão Na Raba,['Raí Saia Rodada'],87,0.155
Take You Dancing,['Jason Derulo'],87,0.0876
Facas - Ao Vivo,"['Diego & Victor Hugo', 'Bruno & Marrone']",87,0.472
Hello (feat. A Boogie Wit da Hoodie),"['Pop Smoke', 'A Boogie Wit da Hoodie']",87,0.282
Shape of You,['Ed Sheeran'],87,0.0931
Perfect,['Ed Sheeran'],87,0.106
Jocelyn Flores,['XXXTENTACION'],87,0.297
Cupid's Chokehold / Breakfast in America,['Gym Class Heroes'],87,0.255
Holy (feat. Chance The Rapper),"['Justin Bieber', 'Chance the Rapper']",87,0.0898
UN DIA (ONE DAY) (Feat. Tainy),"['J Balvin', 'Tainy', 'Dua Lipa', 'Bad Bunny']",87,0.173
Chica Ideal,"['Sebastian Yatra', 'Guaynaa']",87,0.16
SugarCrash!,['ElyOtto'],87,0.0975
Lemonade,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",87,0.111
Wishing Well,['Juice WRLD'],87,0.267
Mi Niña,"['Wisin', 'Myke Towers', 'Los Legendarios']",87,0.143
Lonely (with benny blanco),"['Justin Bieber', 'benny blanco']",87,0.116
Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']",87,0.269
Reloj,"['Rauw Alejandro', 'Anuel AA']",87,0.123
HIGHEST IN THE ROOM,['Travis Scott'],87,0.21
Put Your Records On,['Ritt Momney'],87,0.11
Prisoner (feat. Dua Lipa),"['Miley Cyrus', 'Dua Lipa']",87,0.0761
All of Me,['John Legend'],87,0.132
Do I Wanna Know?,['Arctic Monkeys'],87,0.217
Una Locura,"['Ozuna', 'J Balvin', 'Chencho Corleone']",87,0.241
The Hills,['The Weeknd'],87,0.135
Daddy Issues,['The Neighbourhood'],87,0.123
Stressed Out,['Twenty One Pilots'],86,0.0602
Yellow,['Coldplay'],86,0.234
Devil Eyes,['Hippie Sabotage'],86,0.315
Starboy,"['The Weeknd', 'Daft Punk']",86,0.137
Closer,"['The Chainsmokers', 'Halsey']",86,0.111
On The Ground,['ROSÉ'],86,0.131
The Nights,['Avicii'],86,0.249
The Less I Know The Better,['Tame Impala'],86,0.167
Electric Love,['BØRNS'],86,0.26
Hayloft,['Mother Mother'],86,0.422
Shallow,"['Lady Gaga', 'Bradley Cooper']",86,0.231
In Your Eyes,['The Weeknd'],86,0.0736
Hope,['XXXTENTACION'],86,0.146
Why'd You Only Call Me When You're High?,['Arctic Monkeys'],86,0.104
Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']",86,0.382
POPSTAR (feat. Drake),"['DJ Khaled', 'Drake']",86,0.134
my ex's best friend (with blackbear),"['Machine Gun Kelly', 'blackbear']",86,0.141
La Tóxica,['Farruko'],86,0.0866
At My Worst,['Pink Sweat$'],86,0.131
Mood Swings (feat. Lil Tjay),"['Pop Smoke', 'Lil Tjay']",86,0.0848
Maniac,['Conan Gray'],86,0.354
Ponte Pa' Mi,['Justin Quiles'],86,0.0822
Parce (feat. Justin Quiles),"['Maluma', 'Lenny Tavárez', 'Justin Quiles']",86,0.11
"Lemonade (feat. Gunna, Don Toliver & NAV)","['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",86,0.111
Come & Go (with Marshmello),"['Juice WRLD', 'Marshmello']",86,0.158
La Curiosidad,"['Jay Wheeler', 'DJ Nelson', 'Myke Towers']",86,0.108
Coração Na Cama,['Hugo & Guilherme'],86,0.34
hot girl bummer,['blackbear'],86,0.385
Polvo,"['Nicky Jam', 'Myke Towers']",86,0.106
Love Not War (The Tampa Beat),"['Jason Derulo', 'Nuka']",86,0.23
Godzilla (feat. Juice WRLD),"['Eminem', 'Juice WRLD']",86,0.292
Snowman,['Sia'],86,0.0928
Esquema Preferido,"['DJ Ivis', 'Tarcísio do Acordeon']",86,0.0773
rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",86,0.131
Girls Like Us,['Zoe Wees'],86,0.059
LOCATION,"['KAROL G', 'Anuel AA', 'J Balvin']",86,0.295
Travesuras - Remix,"['Nio Garcia', 'Casper Magico', 'Ozuna', 'Wisin & Yandel', 'Myke Towers', 'Flow La Movie']",86,0.282
Cover Me In Sunshine,"['P!nk', 'Willow Sage Hart']",86,0.0785
Wasted Love (feat. Lagique),"['Ofenbach', 'Lagique']",86,0.0901
If the World Was Ending - feat. Julia Michaels,"['JP Saxe', 'Julia Michaels']",86,0.109
when the party's over,['Billie Eilish'],86,0.0897
Dior,['Pop Smoke'],86,0.408
Star Shopping,['Lil Peep'],86,0.115
Don't Start Now,['Dua Lipa'],86,0.0952
Clean White Noise - Loopable with no fade,"['Erik Eriksson', 'White Noise Baby Sleep', 'White Noise for Babies']",86,0.111
ROXANNE,['Arizona Zervas'],86,0.46
Before You Go,['Lewis Capaldi'],86,0.0885
Lemon Pepper Freestyle (feat. Rick Ross),"['Drake', 'Rick Ross']",86,0.171
Fan de Tus Fotos,"['Nicky Jam', 'Romeo Santos']",86,0.109
Además de Mí - Remix,"['Rusherking', 'KHEA', 'Duki', 'Maria Becerra', 'Lit Killah', 'Tiago PZK']",86,0.192
PROBLEMA,['Daddy Yankee'],86,0.0327
Antes,"['Anuel AA', 'Ozuna']",85,0.092
Machu Picchu,"['Camilo', 'Evaluna Montaner']",85,0.226
Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",85,0.123
Love Story (Taylor’s Version),['Taylor Swift'],85,0.0989
Disco Arranhado - Funk Remix,"['Malu', 'DJ Lucas Beat']",85,0.0626
