name,artists,popularity,tempo
Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",100,90.03
drivers license,['Olivia Rodrigo'],99,143.874
Astronaut In The Ocean,['Masked Wolf'],98,149.996
Save Your Tears,['The Weeknd'],97,118.051
telepatía,['Kali Uchis'],97,83.97
Blinding Lights,['The Weeknd'],96,171.005
Leave The Door Open,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",96,148.088
The Business,['Tiësto'],95,120.031
Streets,['Doja Cat'],94,90.028
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"['Riton', 'Nightcrawlers', 'Mufasa & Hypeman', 'Dopamine']",94,122.98
Heartbreak Anniversary,['Giveon'],94,89.087
WITHOUT YOU,['The Kid LAROI'],94,93.005
Bandido,"['Myke Towers', 'Juhn']",94,168.021
Fiel,"['Los Legendarios', 'Wisin', 'Jhay Cortez']",94,98.005
LA NOCHE DE ANOCHE,"['Bad Bunny', 'ROSALÍA']",93,81.993
Good Days,['SZA'],93,121.002
Ella No Es Tuya - Remix,"['Rochy RD', 'Myke Towers', 'Nicki Nicole']",92,97.041
Up,['Cardi B'],92,166.0
Goosebumps - Remix,"['Travis Scott', 'HVME']",92,124.917
Hold On,['Justin Bieber'],92,139.98
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"['Nathan Evans', '220 KID', 'Billen Ted']",92,119.932
Hecha Pa' Mi,['Boza'],92,100.07
Paradise (feat. Dermot Kennedy),"['MEDUZA', 'Dermot Kennedy']",92,124.114
positions,['Ariana Grande'],92,144.015
Watermelon Sugar,['Harry Styles'],92,95.39
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",92,109.928
Dynamite,['BTS'],91,114.044
you broke me first,['Tate McRae'],91,124.148
BICHOTA,['KAROL G'],91,163.908
34+35,['Ariana Grande'],91,109.978
ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",91,89.977
Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",91,122.953
What You Know Bout Love,['Pop Smoke'],91,83.995
911,['Sech'],91,93.029
Your Love (9PM),"['ATB', 'Topic', 'A7S']",91,125.993
What’s Next,['Drake'],91,129.895
We're Good,['Dua Lipa'],91,134.01
WAP (feat. Megan Thee Stallion),"['Cardi B', 'Megan Thee Stallion']",90,133.073
Baila Conmigo (with Rauw Alejandro),"['Selena Gomez', 'Rauw Alejandro']",90,149.903
Best Friend (feat. Doja Cat),"['Saweetie', 'Doja Cat']",90,94.018
Sweater Weather,['The Neighbourhood'],90,124.053
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",90,109.928
deja vu,['Olivia Rodrigo'],90,181.088
Beautiful Mistakes (feat. Megan Thee Stallion),"['Maroon 5', 'Megan Thee Stallion']",90,99.048
Anyone,['Justin Bieber'],90,115.884
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",90,102.977
Therefore I Am,['Billie Eilish'],90,94.009
My Head & My Heart,['Ava Max'],90,116.001
Someone You Loved,['Lewis Capaldi'],90,109.891
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",89,102.977
Circles,['Post Malone'],89,120.042
Arcade,['Duncan Laurence'],89,71.884
Batom de Cereja - Ao Vivo,['Israel & Rodolffo'],89,171.966
Wants and Needs (feat. Lil Baby),"['Drake', 'Lil Baby']",89,136.006
Life Goes On,['BTS'],89,81.068
Heather,['Conan Gray'],89,102.078
Whoopty,['CJ'],89,140.201
GIRL LIKE ME,"['Black Eyed Peas', 'Shakira']",89,124.025
lovely (with Khalid),"['Billie Eilish', 'Khalid']",89,115.284
For The Night (feat. Lil Baby & DaBaby),"['Pop Smoke', 'Lil Baby', 'DaBaby']",89,125.971
HOLIDAY,['Lil Nas X'],89,151.947
La Nota,"['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",89,92.03
Goosebumps,['HVME'],89,124.946
death bed (coffee for your head),"['Powfu', 'beabadoobee']",89,144.026
RAPSTAR,['Polo G'],89,81.039
goosebumps,['Travis Scott'],88,130.049
Hold On,['Justin Bieber'],88,140.002
Laugh Now Cry Later (feat. Lil Durk),"['Drake', 'Lil Durk']",88,133.976
Adore You,['Harry Styles'],88,99.048
bad guy,['Billie Eilish'],88,135.128
Film out,['BTS'],88,164.032
Believer,['Imagine Dragons'],88,124.949
