name,artists,popularity,valence
Peaches (feat. Daniel Caesar & Giveon),"['Justin Bieber', 'Daniel Caesar', 'Giveon']",100,0.464
drivers license,['Olivia Rodrigo'],99,0.132
Astronaut In The Ocean,['Masked Wolf'],98,0.472
Save Your Tears,['The Weeknd'],97,0.644
telepatía,['Kali Uchis'],97,0.553
Blinding Lights,['The Weeknd'],96,0.334
Leave The Door Open,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",96,0.719
The Business,['Tiësto'],95,0.235
Streets,['Doja Cat'],94,0.19
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"['Riton', 'Nightcrawlers', 'Mufasa & Hypeman', 'Dopamine']",94,0.801
Heartbreak Anniversary,['Giveon'],94,0.543
WITHOUT YOU,['The Kid LAROI'],94,0.467
Bandido,"['Myke Towers', 'Juhn']",94,0.682
Fiel,"['Los Legendarios', 'Wisin', 'Jhay Cortez']",94,0.505
LA NOCHE DE ANOCHE,"['Bad Bunny', 'ROSALÍA']",93,0.391
Good Days,['SZA'],93,0.412
Ella No Es Tuya - Remix,"['Rochy RD', 'Myke Towers', 'Nicki Nicole']",92,0.962
Up,['Cardi B'],92,0.819
Goosebumps - Remix,"['Travis Scott', 'HVME']",92,0.808
Hold On,['Justin Bieber'],92,0.29
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"['Nathan Evans', '220 KID', 'Billen Ted']",92,0.439
Hecha Pa' Mi,['Boza'],92,0.828
Paradise (feat. Dermot Kennedy),"['MEDUZA', 'Dermot Kennedy']",92,0.435
positions,['Ariana Grande'],92,0.682
Watermelon Sugar,['Harry Styles'],92,0.557
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",92,0.145
Dynamite,['BTS'],91,0.737
you broke me first,['Tate McRae'],91,0.0823
BICHOTA,['KAROL G'],91,0.838
34+35,['Ariana Grande'],91,0.485
ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",91,0.497
Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",91,0.905
What You Know Bout Love,['Pop Smoke'],91,0.543
911,['Sech'],91,0.744
Your Love (9PM),"['ATB', 'Topic', 'A7S']",91,0.517
What’s Next,['Drake'],91,0.0628
We're Good,['Dua Lipa'],91,0.59
WAP (feat. Megan Thee Stallion),"['Cardi B', 'Megan Thee Stallion']",90,0.357
Baila Conmigo (with Rauw Alejandro),"['Selena Gomez', 'Rauw Alejandro']",90,0.664
Best Friend (feat. Doja Cat),"['Saweetie', 'Doja Cat']",90,0.402
Sweater Weather,['The Neighbourhood'],90,0.398
DÁKITI,"['Bad Bunny', 'Jhay Cortez']",90,0.145
deja vu,['Olivia Rodrigo'],90,0.172
Beautiful Mistakes (feat. Megan Thee Stallion),"['Maroon 5', 'Megan Thee Stallion']",90,0.721
Anyone,['Justin Bieber'],90,0.584
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",90,0.915
Therefore I Am,['Billie Eilish'],90,0.716
My Head & My Heart,['Ava Max'],90,0.436
Someone You Loved,['Lewis Capaldi'],90,0.446
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",89,0.915
Circles,['Post Malone'],89,0.553
Arcade,['Duncan Laurence'],89,0.266
Batom de Cereja - Ao Vivo,['Israel & Rodolffo'],89,0.798
Wants and Needs (feat. Lil Baby),"['Drake', 'Lil Baby']",89,0.1
Life Goes On,['BTS'],89,0.45
Heather,['Conan Gray'],89,0.27
Whoopty,['CJ'],89,0.66
GIRL LIKE ME,"['Black Eyed Peas', 'Shakira']",89,0.312
lovely (with Khalid),"['Billie Eilish', 'Khalid']",89,0.12
For The Night (feat. Lil Baby & DaBaby),"['Pop Smoke', 'Lil Baby', 'DaBaby']",89,0.347
HOLIDAY,['Lil Nas X'],89,0.837
La Nota,"['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",89,0.503
Goosebumps,['HVME'],89,0.439
death bed (coffee for your head),"['Powfu', 'beabadoobee']",89,0.348
RAPSTAR,['Polo G'],89,0.437
goosebumps,['Travis Scott'],88,0.43
Hold On,['Justin Bieber'],88,0.302
Laugh Now Cry Later (feat. Lil Durk),"['Drake', 'Lil Durk']",88,0.522
Adore You,['Harry Styles'],88,0.569
bad guy,['Billie Eilish'],88,0.562
Film out,['BTS'],88,0.314
Believer,['Imagine Dragons'],88,0.666
No Te Enamores - Remix,"['Milly', 'Farruko', 'Nio Garcia', 'Jay Wheeler', 'Amenazzy']",88,0.58
TE MUDASTE,['Bad Bunny'],88,0.471
Relación - Remix,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",88,0.835
Afterglow,['Ed Sheeran'],88,0.273
Golden,['Harry Styles'],88,0.254
Dance Monkey,['Tones And I'],88,0.513
Martin & Gina,['Polo G'],88,0.116
Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']",88,0.898
The Box,['Roddy Ricch'],88,0.642
Memories,['Maroon 5'],88,0.575
Lucid Dreams,['Juice WRLD'],88,0.218
Breaking Me,"['Topic', 'A7S']",88,0.664
everything i wanted,['Billie Eilish'],87,0.243
Train Wreck,['James Arthur'],87,0.225
7 rings,['Ariana Grande'],87,0.327
Ride It,['Regard'],87,0.884
BED,"['Joel Corry', 'RAYE', 'David Guetta']",87,0.618
Robbery,['Juice WRLD'],87,0.578
Follow You,['Imagine Dragons'],87,0.489
Falling,['Harry Styles'],87,0.0592
SICKO MODE,['Travis Scott'],87,0.446
Say You Won't Let Go,['James Arthur'],87,0.494
SAD!,['XXXTENTACION'],87,0.473
All Girls Are The Same,['Juice WRLD'],87,0.203
Tapão Na Raba,['Raí Saia Rodada'],87,0.799
Take You Dancing,['Jason Derulo'],87,0.753
Facas - Ao Vivo,"['Diego & Victor Hugo', 'Bruno & Marrone']",87,0.69
Hello (feat. A Boogie Wit da Hoodie),"['Pop Smoke', 'A Boogie Wit da Hoodie']",87,0.367
Shape of You,['Ed Sheeran'],87,0.931
Perfect,['Ed Sheeran'],87,0.168
Jocelyn Flores,['XXXTENTACION'],87,0.437
Cupid's Chokehold / Breakfast in America,['Gym Class Heroes'],87,0.619
Holy (feat. Chance The Rapper),"['Justin Bieber', 'Chance the Rapper']",87,0.372
UN DIA (ONE DAY) (Feat. Tainy),"['J Balvin', 'Tainy', 'Dua Lipa', 'Bad Bunny']",87,0.393
Chica Ideal,"['Sebastian Yatra', 'Guaynaa']",87,0.707
SugarCrash!,['ElyOtto'],87,0.368
Lemonade,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",87,0.471
Wishing Well,['Juice WRLD'],87,0.0804
Mi Niña,"['Wisin', 'Myke Towers', 'Los Legendarios']",87,0.791
Lonely (with benny blanco),"['Justin Bieber', 'benny blanco']",87,0.0927
Savage Love (Laxed - Siren Beat),"['Jawsh 685', 'Jason Derulo']",87,0.761
Reloj,"['Rauw Alejandro', 'Anuel AA']",87,0.615
HIGHEST IN THE ROOM,['Travis Scott'],87,0.0605
Put Your Records On,['Ritt Momney'],87,0.151
Prisoner (feat. Dua Lipa),"['Miley Cyrus', 'Dua Lipa']",87,0.595
All of Me,['John Legend'],87,0.331
Do I Wanna Know?,['Arctic Monkeys'],87,0.405
Una Locura,"['Ozuna', 'J Balvin', 'Chencho Corleone']",87,0.906
The Hills,['The Weeknd'],87,0.137
Daddy Issues,['The Neighbourhood'],87,0.337
Stressed Out,['Twenty One Pilots'],86,0.648
Yellow,['Coldplay'],86,0.285
Devil Eyes,['Hippie Sabotage'],86,0.199
Starboy,"['The Weeknd', 'Daft Punk']",86,0.486
Closer,"['The Chainsmokers', 'Halsey']",86,0.661
On The Ground,['ROSÉ'],86,0.286
The Nights,['Avicii'],86,0.654
The Less I Know The Better,['Tame Impala'],86,0.785
Electric Love,['BØRNS'],86,0.518
Hayloft,['Mother Mother'],86,0.49
Shallow,"['Lady Gaga', 'Bradley Cooper']",86,0.323
In Your Eyes,['The Weeknd'],86,0.717
Hope,['XXXTENTACION'],86,0.225
Why'd You Only Call Me When You're High?,['Arctic Monkeys'],86,0.8
Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']",86,0.537
POPSTAR (feat. Drake),"['DJ Khaled', 'Drake']",86,0.45
my ex's best friend (with blackbear),"['Machine Gun Kelly', 'blackbear']",86,0.298
La Tóxica,['Farruko'],86,0.623
At My Worst,['Pink Sweat$'],86,0.667
Mood Swings (feat. Lil Tjay),"['Pop Smoke', 'Lil Tjay']",86,0.269
Maniac,['Conan Gray'],86,0.493
Ponte Pa' Mi,['Justin Quiles'],86,0.615
