year,danceability,energy,liveness,acousticness,valence
1922,0.533319728,0.324054048,0.250670408,0.898857143,0.563605102
1923,0.637331811,0.266976712,0.225396195,0.859964839,0.671966667
1924,0.593344392,0.356724961,0.203446603,0.866265667,0.554935387
1925,0.617390919,0.263749169,0.255156921,0.912169601,0.635196235
1926,0.6221133,0.263075123,0.211446868,0.7857388,0.539701696
1927,0.650711,0.280463467,0.182666,0.906252804,0.680101917
1928,0.542242006,0.244461453,0.175056032,0.940075153,0.524054433
1929,0.603243073,0.319017584,0.191096892,0.954420071,0.645756838
1930,0.530138481,0.331716787,0.221315567,0.925012789,0.594140598
1931,0.545634055,0.282749599,0.219399902,0.871666535,0.566064075
1932,0.587821826,0.298995708,0.205777078,0.821789224,0.584123744
1933,0.572998401,0.327457584,0.197756838,0.900449316,0.590386501
1934,0.54346911,0.317645445,0.205105969,0.904189505,0.565818848
1935,0.526039872,0.273128195,0.212419332,0.884078038,0.509496162
1936,0.61506482,0.292593025,0.211252343,0.665061678,0.574643701
1937,0.548664053,0.326839464,0.22350823,0.905522757,0.589946506
1938,0.505622628,0.298953796,0.232630251,0.932087015,0.540945564
1939,0.53117554,0.311142686,0.235361691,0.922498129,0.586671223
1940,0.50567987,0.336755563,0.215494751,0.922189399,0.592267662
1941,0.497354699,0.271277563,0.209659649,0.917301222,0.510549812
1942,0.467199197,0.254128841,0.205646586,0.885474814,0.481395353
1943,0.487662843,0.277818894,0.235356442,0.919940188,0.54950532
1944,0.517421019,0.258809777,0.218296557,0.929592052,0.561380201
1945,0.475753771,0.258930663,0.207272078,0.907487113,0.491924698
1946,0.443643555,0.24026457,0.211006887,0.926259497,0.444113215
1947,0.485868979,0.275631765,0.228262896,0.913127344,0.521435043
1948,0.445088624,0.245768802,0.213474817,0.939807018,0.447523028
1949,0.460109169,0.267660073,0.204624739,0.890232764,0.465483795
1950,0.512172843,0.299286086,0.217691957,0.836208753,0.540112439
1951,0.480388821,0.28711365,0.214870188,0.868107454,0.4780801
1952,0.456938544,0.268203265,0.217550404,0.886476725,0.455406879
1953,0.452162487,0.270430195,0.209596163,0.881523587,0.437822199
1954,0.463770162,0.266636871,0.222005425,0.868015716,0.447033138
1955,0.486387275,0.292685582,0.230090254,0.864353981,0.480005932
1956,0.498762416,0.318098158,0.203326121,0.827010816,0.530726249
1957,0.497763298,0.307894799,0.193107652,0.815216042,0.533852296
1958,0.486092844,0.314405131,0.213166038,0.803673175,0.514248873
1959,0.47996803,0.332145134,0.205091355,0.800868667,0.503014194
1960,0.498409436,0.351134756,0.213133826,0.754451771,0.537596521
1961,0.49286438,0.346725762,0.208469472,0.78219481,0.538451357
1962,0.489480064,0.367621744,0.217584219,0.756475496,0.548870276
1963,0.492210725,0.368538144,0.210946534,0.757858385,0.557398736
1964,0.498795323,0.392744599,0.216634333,0.734169872,0.57641638
1965,0.497893019,0.432932413,0.216229885,0.679828336,0.583072385
1966,0.503835138,0.436384688,0.210046081,0.627381109,0.582153654
1967,0.505733657,0.441036455,0.207921293,0.598072848,0.566525232
1968,0.503880914,0.454940067,0.224241652,0.57540229,0.574221323
1969,0.489961565,0.456167965,0.206894085,0.554064155,0.557998256
1970,0.500209551,0.468873853,0.218967555,0.541401447,0.570070399
1971,0.501147992,0.477435265,0.213116486,0.538923201,0.568006235
1972,0.513784328,0.477193063,0.218522724,0.554532876,0.575912521
1973,0.516107807,0.505328931,0.230226168,0.512631278,0.574714091
1974,0.515156206,0.493107256,0.218858272,0.522531997,0.578712314
1975,0.521362606,0.4940621,0.214973098,0.504758817,0.57233433
1976,0.523397554,0.511146354,0.223305645,0.484183915,0.578294
1977,0.534840647,0.506559336,0.223728317,0.480784999,0.579283454
1978,0.535889623,0.527671991,0.232258893,0.454102852,0.588809362
1979,0.563933547,0.546353477,0.229111042,0.43039018,0.610636082
1980,0.559015666,0.534417083,0.22579177,0.428168934,0.593779521
1981,0.558943315,0.544952755,0.234883636,0.413820517,0.594426898
1982,0.574002068,0.541824448,0.22991951,0.420121188,0.591419523
1983,0.566398122,0.526616409,0.230265097,0.42474001,0.580732773
1984,0.57587797,0.554493237,0.237411535,0.407838636,0.576541831
1985,0.56564376,0.558653341,0.218792571,0.397023615,0.579617497
1986,0.566126009,0.553462714,0.227885063,0.413576259,0.582105368
1987,0.559773137,0.564736315,0.211898533,0.375961903,0.570384142
1988,0.548713289,0.555092885,0.217477306,0.398505606,0.562728561
1989,0.561413496,0.559819988,0.22622851,0.393830341,0.573675857
