name,artists,popularity,danceability
Take on Me,['a-ha'],86,0.573
Dreams - 2004 Remaster,['Fleetwood Mac'],86,0.828
Billie Jean,['Michael Jackson'],85,0.92
Back In Black,['AC/DC'],85,0.31
Every Breath You Take,['The Police'],85,0.82
Everybody Wants To Rule The World,['Tears For Fears'],84,0.645
Livin' On A Prayer,['Bon Jovi'],84,0.532
Highway to Hell,['AC/DC'],84,0.574
Hotel California - 2013 Remaster,['Eagles'],84,0.579
Africa,['TOTO'],84,0.671
Another One Bites The Dust - Remastered 2011,['Queen'],83,0.933
Summer Of '69,['Bryan Adams'],83,0.508
I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],83,0.709
Sweet Dreams (Are Made of This) - Remastered,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']",83,0.692
Here Comes The Sun - Remastered 2009,['The Beatles'],83,0.557
Sweet Home Alabama,['Lynyrd Skynyrd'],83,0.596
Fortunate Son,['Creedence Clearwater Revival'],83,0.64
Bohemian Rhapsody - Remastered 2011,['Queen'],83,0.414
I'm Still Standing,['Elton John'],83,0.504
Don't Stop Believin',['Journey'],82,0.5
Ain't No Mountain High Enough,"['Marvin Gaye', 'Tammi Terrell']",82,0.663
Sweet Child O' Mine,"[""Guns N' Roses""]",82,0.454
Just the Two of Us (feat. Bill Withers),"['Grover Washington, Jr.', 'Bill Withers']",82,0.802
Don't Stop Me Now - Remastered 2011,['Queen'],82,0.559
"Rocket Man (I Think It's Going To Be A Long, Long Time)",['Elton John'],82,0.601
The Chain - 2004 Remaster,['Fleetwood Mac'],82,0.545
Mr. Blue Sky,['Electric Light Orchestra'],82,0.388
You Give Love A Bad Name,['Bon Jovi'],81,0.541
Dancing Queen,['ABBA'],81,0.543
Sultans Of Swing,['Dire Straits'],81,0.733
September,"['Earth, Wind & Fire']",81,0.697
You Shook Me All Night Long,['AC/DC'],81,0.532
Under Pressure - Remastered 2011,"['Queen', 'David Bowie']",81,0.671
Jump - 2015 Remaster,['Van Halen'],80,0.572
Wake Me Up Before You Go-Go,['Wham!'],80,0.62
We Will Rock You - Remastered,['Queen'],80,0.692
More Than a Feeling,['Boston'],80,0.377
With Or Without You - Remastered,['U2'],80,0.54
I Still Haven't Found What I'm Looking For,['U2'],80,0.564
Brown Eyed Girl,['Van Morrison'],80,0.491
Tiny Dancer,['Elton John'],80,0.414
Should I Stay or Should I Go - Remastered,['The Clash'],80,0.743
My Girl,['The Temptations'],80,0.572
Beat It,['Michael Jackson'],80,0.779
Three Little Birds,['Bob Marley & The Wailers'],80,0.814
Your Song,['Elton John'],80,0.554
I Was Made For Lovin' You,['KISS'],80,0.768
Walking On Sunshine,['Katrina & The Waves'],79,0.596
I Want to Know What Love Is - 1999 Remaster,['Foreigner'],79,0.477
Landslide,['Fleetwood Mac'],79,0.414
"Paint It, Black",['The Rolling Stones'],79,0.464
Paradise City,"[""Guns N' Roses""]",79,0.273
Uptown Girl,['Billy Joel'],79,0.701
California Dreamin' - Single Version,['The Mamas & The Papas'],79,0.552
Ahora Te Puedes Marchar,['Luis Miguel'],79,0.78
You Make My Dreams (Come True),['Daryl Hall & John Oates'],79,0.751
Free Fallin',['Tom Petty'],79,0.623
Ain't No Sunshine,['Bill Withers'],79,0.527
Imagine - Remastered 2010,['John Lennon'],79,0.547
Stairway to Heaven - Remaster,['Led Zeppelin'],79,0.338
Take It Easy - 2013 Remaster,['Eagles'],79,0.575
Everywhere - 2017 Remaster,['Fleetwood Mac'],79,0.73
Can't Help Falling in Love,['Elvis Presley'],79,0.396
Let It Be - Remastered 2009,['The Beatles'],79,0.443
"Signed, Sealed, Delivered (I'm Yours)",['Stevie Wonder'],79,0.675
Gimme! Gimme! Gimme! (A Man After Midnight),['ABBA'],79,0.749
