name,artists,popularity,energy
Take on Me,['a-ha'],86,0.902
Dreams - 2004 Remaster,['Fleetwood Mac'],86,0.492
Billie Jean,['Michael Jackson'],85,0.654
Back In Black,['AC/DC'],85,0.7
Every Breath You Take,['The Police'],85,0.452
Everybody Wants To Rule The World,['Tears For Fears'],84,0.795
Livin' On A Prayer,['Bon Jovi'],84,0.887
Highway to Hell,['AC/DC'],84,0.913
Hotel California - 2013 Remaster,['Eagles'],84,0.508
Africa,['TOTO'],84,0.373
Another One Bites The Dust - Remastered 2011,['Queen'],83,0.528
Summer Of '69,['Bryan Adams'],83,0.834
I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],83,0.824
Sweet Dreams (Are Made of This) - Remastered,['Eurythmics' 'Annie Lennox' 'Dave Stewart'],83,0.711
Here Comes The Sun - Remastered 2009,['The Beatles'],83,0.54
Sweet Home Alabama,['Lynyrd Skynyrd'],83,0.605
Fortunate Son,['Creedence Clearwater Revival'],83,0.663
Bohemian Rhapsody - Remastered 2011,['Queen'],83,0.404
I'm Still Standing,['Elton John'],83,0.904
Don't Stop Believin',['Journey'],82,0.748
Ain't No Mountain High Enough,['Marvin Gaye' 'Tammi Terrell'],82,0.6
Sweet Child O' Mine,"[""Guns N' Roses""]",82,0.91
Just the Two of Us (feat. Bill Withers),['Grover Washington Jr.' 'Bill Withers'],82,0.488
Don't Stop Me Now - Remastered 2011,['Queen'],82,0.868
Rocket Man (I Think It's Going To Be A Long Long Time),['Elton John'],82,0.532
The Chain - 2004 Remaster,['Fleetwood Mac'],82,0.67
Mr. Blue Sky,['Electric Light Orchestra'],82,0.338
You Give Love A Bad Name,['Bon Jovi'],81,0.96
Dancing Queen,['ABBA'],81,0.87
Sultans Of Swing,['Dire Straits'],81,0.794
September,['Earth Wind & Fire'],81,0.832
You Shook Me All Night Long,['AC/DC'],81,0.767
Under Pressure - Remastered 2011,['Queen' 'David Bowie'],81,0.712
Jump - 2015 Remaster,['Van Halen'],80,0.835
Wake Me Up Before You Go-Go,['Wham!'],80,0.573
We Will Rock You - Remastered,['Queen'],80,0.497
More Than a Feeling,['Boston'],80,0.682
With Or Without You - Remastered,['U2'],80,0.429
I Still Haven't Found What I'm Looking For,['U2'],80,0.774
Brown Eyed Girl,['Van Morrison'],80,0.583
Tiny Dancer,['Elton John'],80,0.428
Should I Stay or Should I Go - Remastered,['The Clash'],80,0.836
My Girl,['The Temptations'],80,0.418
Beat It,['Michael Jackson'],80,0.867
Three Little Birds,['Bob Marley & The Wailers'],80,0.482
Your Song,['Elton John'],80,0.315
I Was Made For Lovin' You,['KISS'],80,0.852
Walking On Sunshine,['Katrina & The Waves'],79,0.869
I Want to Know What Love Is - 1999 Remaster,['Foreigner'],79,0.471
Landslide,['Fleetwood Mac'],79,0.161
Paint It Black,['The Rolling Stones'],79,0.795
Paradise City,"[""Guns N' Roses""]",79,0.952
Uptown Girl,['Billy Joel'],79,0.943
California Dreamin' - Single Version,['The Mamas & The Papas'],79,0.608
Ahora Te Puedes Marchar,['Luis Miguel'],79,0.877
You Make My Dreams (Come True),['Daryl Hall & John Oates'],79,0.501
Free Fallin',['Tom Petty'],79,0.449
Ain't No Sunshine,['Bill Withers'],79,0.415
Imagine - Remastered 2010,['John Lennon'],79,0.257
Stairway to Heaven - Remaster,['Led Zeppelin'],79,0.34
Take It Easy - 2013 Remaster,['Eagles'],79,0.67
Everywhere - 2017 Remaster,['Fleetwood Mac'],79,0.487
Can't Help Falling in Love,['Elvis Presley'],79,0.293
Let It Be - Remastered 2009,['The Beatles'],79,0.403
Signed Sealed Delivered (I'm Yours),['Stevie Wonder'],79,0.597
Gimme! Gimme! Gimme! (A Man After Midnight),['ABBA'],79,0.491
Have You Ever Seen The Rain,['Creedence Clearwater Revival'],79,0.697
Stand by Me,['Ben E. King'],79,0.306
Fast Car,['Tracy Chapman'],79,0.292
Bad Moon Rising,['Creedence Clearwater Revival'],79,0.774
Sweet Caroline,['Neil Diamond'],79,0.127
Come Together - Remastered 2009,['The Beatles'],79,0.376
Dream On,['Aerosmith'],79,0.433
T.N.T.,['AC/DC'],79,0.759
All Along the Watchtower,['Jimi Hendrix'],79,0.805
Girls Just Want to Have Fun,['Cyndi Lauper'],79,0.799
Could You Be Loved,['Bob Marley & The Wailers'],78,0.72
(I Can't Get No) Satisfaction - Mono Version,['The Rolling Stones'],78,0.863
9 to 5,['Dolly Parton'],78,0.783
Smooth Criminal - 2012 Remaster,['Michael Jackson'],78,0.981
Welcome To The Jungle,"[""Guns N' Roses""]",78,0.954
Dust in the Wind,['Kansas'],78,0.322
In The Air Tonight - 2015 Remastered,['Phil Collins'],78,0.239
Whole Lotta Love - 1990 Remaster,['Led Zeppelin'],78,0.902
Where Is My Mind? - Remastered,['Pixies'],78,0.441
Paranoid,['Black Sabbath'],78,0.631
Hold the Line,['TOTO'],78,0.898
Start Me Up - Remastered,['The Rolling Stones'],78,0.932
Immigrant Song - Remaster,['Led Zeppelin'],78,0.932
The Final Countdown,['Europe'],78,0.843
A Horse with No Name,['America' 'George Martin'],78,0.506
Baba O'Riley,['The Who'],78,0.724
You Can't Hurry Love - 2016 Remaster,['Phil Collins'],78,0.936
The Boys Of Summer,['Don Henley'],78,0.549
Dancing In the Dark,['Bruce Springsteen'],78,0.942
Walk Of Life,['Dire Straits'],78,0.918
We Built This City,['Starship'],78,0.908
Don't Go Breaking My Heart,['Elton John' 'Kiki Dee'],78,0.844
Come and Get Your Love - Single Version,['Redbone'],78,0.804
Another Brick in the Wall Pt. 2,['Pink Floyd'],77,0.394
You Can Call Me Al,['Paul Simon'],77,0.763
La Incondicional,['Luis Miguel'],77,0.727
Roxanne,['The Police'],77,0.748
Johnny B. Goode,['Chuck Berry'],77,0.803
Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],77,0.947
Easy,['Commodores'],77,0.384
Lovely Day,['Bill Withers'],77,0.651
Wonderful Tonight,['Eric Clapton'],77,0.214
For What It's Worth,['Buffalo Springfield'],77,0.519
Come On Eileen,['Dexys Midnight Runners'],77,0.656
Nothing's Gonna Stop Us Now,['Starship'],77,0.802
My Sweet Lord - Remastered 2014,['George Harrison'],77,0.701
La Grange - 2005 Remaster,['ZZ Top'],77,0.64
I Say a Little Prayer,['Aretha Franklin'],77,0.355
"Mrs. Robinson - From ""The Graduate"" Soundtrack",['Simon & Garfunkel'],77,0.457
Yesterday - Remastered 2009,['The Beatles'],77,0.179
Piano Man,['Billy Joel'],77,0.55
The Joker,['Steve Miller Band'],77,0.448
I Want You Back,['The Jackson 5'],77,0.538
"Rasputin - 7"" Version",['Boney M.'],77,0.719
Heaven,['Bryan Adams'],77,0.589
At Last,['Etta James'],77,0.348
Eye of the Tiger,['Survivor'],77,0.599
Kickstart My Heart,['Mötley Crüe'],77,0.981
Right Here Waiting,['Richard Marx'],77,0.252
Wish You Were Here,['Pink Floyd'],77,0.262
Wild World,['Yusuf / Cat Stevens'],77,0.542
Listen to the Music,['The Doobie Brothers'],77,0.598
(Don't Fear) The Reaper,['Blue Öyster Cult'],77,0.927
You're so Vain,['Carly Simon'],77,0.678
Hooked on a Feeling,['Blue Swede' 'Björn Skifs'],77,0.82
Walk This Way,['Aerosmith'],77,0.73
Message In A Bottle,['The Police'],76,0.808
Don't Stop 'Til You Get Enough,['Michael Jackson'],76,0.821
Spirit In The Sky,['Norman Greenbaum'],76,0.617
Gimme Shelter,['The Rolling Stones'],76,0.63
We Didn't Start the Fire,['Billy Joel'],76,0.967
Let's Stay Together,['Al Green'],76,0.397
Is This Love,['Bob Marley & The Wailers'],76,0.559
You're The One That I Want - From “Grease”,['John Travolta' 'Olivia Newton-John'],76,0.612
Walk On the Wild Side,['Lou Reed'],76,0.318
How Deep Is Your Love,['Bee Gees'],76,0.357
(Sittin' On) the Dock of the Bay,['Otis Redding'],76,0.367
American Pie,['Don McLean'],76,0.481
Brandy (You're a Fine Girl),['Looking Glass'],76,0.625
I'm On Fire,['Bruce Springsteen'],76,0.446
Build Me Up Buttercup - Mono,['The Foundations'],76,0.513
The Lady In Red,['Chris de Burgh'],76,0.294
The Boys Are Back In Town,['Thin Lizzy'],76,0.706
If You Leave Me Now,['Chicago'],76,0.564
Crazy Little Thing Called Love - Remastered 2011,['Queen'],76,0.761
Another One Bites The Dust - Remastered 2011,['Queen'],76,0.528
Jack & Diane,['John Mellencamp'],76,0.41
You Can't Hurry Love,['The Supremes'],76,0.711
Mamma Mia,['ABBA'],76,0.748
December 1963 (Oh What a Night!),['Frankie Valli & The Four Seasons'],76,0.495
Rock And Roll All Nite,['KISS'],76,0.929
Sweet Emotion,['Aerosmith'],76,0.76
Tainted Love,['Soft Cell'],76,0.501
Rebel Rebel - 2016 Remaster,['David Bowie'],76,0.686
Devuélveme a mi chica,['Hombres G'],76,0.843
Don't You (Forget About Me),['Simple Minds'],76,0.816
I Want To Break Free - Single Remix,['Queen'],76,0.435
Radio Ga Ga - Remastered 2011,['Queen'],76,0.502
Born in the U.S.A.,['Bruce Springsteen'],76,0.952
Give A Little Bit,['Supertramp'],76,0.818
Heroes - 2017 Remaster,['David Bowie'],76,0.758
We Are The Champions - Remastered 2011,['Queen'],76,0.459
Purple Rain,['Prince'],76,0.452
Bohemian Rhapsody - Remastered 2011,['Queen'],76,0.402
Carry on Wayward Son,['Kansas'],76,0.786
Break My Stride,['Matthew Wilder'],76,0.588
Maniac,['Michael Sembello'],76,0.533
Wanted Dead Or Alive,['Bon Jovi'],75,0.802
Boys Don't Cry,['The Cure'],75,0.836
We're Not Gonna Take It,['Twisted Sister'],75,0.924
Boogie Wonderland,['Earth Wind & Fire' 'The Emotions'],75,0.756
Bennie And The Jets - Remastered 2014,['Elton John'],75,0.673
Angie,['The Rolling Stones'],75,0.554
Rock with You - Single Version,['Michael Jackson'],75,0.535
Escape (The Pina Colada Song),['Rupert Holmes'],75,0.509
Blackbird - Remastered 2009,['The Beatles'],75,0.127
Layla,['Derek & The Dominos'],75,0.902
Cecilia,['Simon & Garfunkel'],75,0.876
House of the Rising Sun,['The Animals'],75,0.484
Father And Son,['Yusuf / Cat Stevens'],75,0.326
Twist And Shout - Remastered 2009,['The Beatles'],75,0.849
Can't Fight This Feeling,['REO Speedwagon'],75,0.48
Pour Some Sugar On Me - Remastered 2017,['Def Leppard'],75,0.953
Alone,['Heart'],75,0.452
Sweet Child O' Mine,"[""Guns N' Roses""]",75,0.952
Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],75,0.941
Another Day in Paradise - 2016 Remaster,['Phil Collins'],75,0.565
This Charming Man - 2011 Remaster,['The Smiths'],75,0.846
Let's Groove,['Earth Wind & Fire'],75,0.648
I'm a Believer - 2006 Remaster,['The Monkees'],75,0.775
Jamming,['Bob Marley & The Wailers'],75,0.467
Barracuda,['Heart'],75,0.691
Smoke On The Water - Remastered 2012,['Deep Purple'],75,0.676
Don't You Want Me,['The Human League'],75,0.738
