name,artists,popularity,liveness
Take on Me,['a-ha'],86,0.0928
Dreams - 2004 Remaster,['Fleetwood Mac'],86,0.128
Billie Jean,['Michael Jackson'],85,0.0359
Back In Black,['AC/DC'],85,0.0828
Every Breath You Take,['The Police'],85,0.0714
Everybody Wants To Rule The World,['Tears For Fears'],84,0.104
Livin' On A Prayer,['Bon Jovi'],84,0.294
Highway to Hell,['AC/DC'],84,0.156
Hotel California - 2013 Remaster,['Eagles'],84,0.0575
Africa,['TOTO'],84,0.0481
Another One Bites The Dust - Remastered 2011,['Queen'],83,0.163
Summer Of '69,['Bryan Adams'],83,0.0732
I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],83,0.0888
Sweet Dreams (Are Made of This) - Remastered,['Eurythmics' 'Annie Lennox' 'Dave Stewart'],83,0.12
Here Comes The Sun - Remastered 2009,['The Beatles'],83,0.179
Sweet Home Alabama,['Lynyrd Skynyrd'],83,0.0863
Fortunate Son,['Creedence Clearwater Revival'],83,0.152
Bohemian Rhapsody - Remastered 2011,['Queen'],83,0.3
I'm Still Standing,['Elton John'],83,0.14
Don't Stop Believin',['Journey'],82,0.447
Ain't No Mountain High Enough,['Marvin Gaye' 'Tammi Terrell'],82,0.184
Sweet Child O' Mine,"[""Guns N' Roses""]",82,0.116
Just the Two of Us (feat. Bill Withers),['Grover Washington Jr.' 'Bill Withers'],82,0.0763
Don't Stop Me Now - Remastered 2011,['Queen'],82,0.776
Rocket Man (I Think It's Going To Be A Long Long Time),['Elton John'],82,0.0925
The Chain - 2004 Remaster,['Fleetwood Mac'],82,0.0451
Mr. Blue Sky,['Electric Light Orchestra'],82,0.248
You Give Love A Bad Name,['Bon Jovi'],81,0.344
Dancing Queen,['ABBA'],81,0.792
Sultans Of Swing,['Dire Straits'],81,0.33
September,['Earth Wind & Fire'],81,0.269
You Shook Me All Night Long,['AC/DC'],81,0.39
Under Pressure - Remastered 2011,['Queen' 'David Bowie'],81,0.103
Jump - 2015 Remaster,['Van Halen'],80,0.0702
Wake Me Up Before You Go-Go,['Wham!'],80,0.0607
We Will Rock You - Remastered,['Queen'],80,0.259
More Than a Feeling,['Boston'],80,0.0504
With Or Without You - Remastered,['U2'],80,0.141
I Still Haven't Found What I'm Looking For,['U2'],80,0.0861
Brown Eyed Girl,['Van Morrison'],80,0.407
Tiny Dancer,['Elton John'],80,0.148
Should I Stay or Should I Go - Remastered,['The Clash'],80,0.384
My Girl,['The Temptations'],80,0.0961
Beat It,['Michael Jackson'],80,0.197
Three Little Birds,['Bob Marley & The Wailers'],80,0.0476
Your Song,['Elton John'],80,0.101
I Was Made For Lovin' You,['KISS'],80,0.0723
Walking On Sunshine,['Katrina & The Waves'],79,0.0678
I Want to Know What Love Is - 1999 Remaster,['Foreigner'],79,0.131
Landslide,['Fleetwood Mac'],79,0.117
Paint It Black,['The Rolling Stones'],79,0.399
Paradise City,"[""Guns N' Roses""]",79,0.142
Uptown Girl,['Billy Joel'],79,0.601
California Dreamin' - Single Version,['The Mamas & The Papas'],79,0.0533
Ahora Te Puedes Marchar,['Luis Miguel'],79,0.0627
You Make My Dreams (Come True),['Daryl Hall & John Oates'],79,0.0467
Free Fallin',['Tom Petty'],79,0.0613
Ain't No Sunshine,['Bill Withers'],79,0.117
Imagine - Remastered 2010,['John Lennon'],79,0.0935
Stairway to Heaven - Remaster,['Led Zeppelin'],79,0.116
Take It Easy - 2013 Remaster,['Eagles'],79,0.129
Everywhere - 2017 Remaster,['Fleetwood Mac'],79,0.0852
Can't Help Falling in Love,['Elvis Presley'],79,0.105
Let It Be - Remastered 2009,['The Beatles'],79,0.111
Signed Sealed Delivered (I'm Yours),['Stevie Wonder'],79,0.0986
Gimme! Gimme! Gimme! (A Man After Midnight),['ABBA'],79,0.159
Have You Ever Seen The Rain,['Creedence Clearwater Revival'],79,0.133
Stand by Me,['Ben E. King'],79,0.0707
Fast Car,['Tracy Chapman'],79,0.131
Bad Moon Rising,['Creedence Clearwater Revival'],79,0.063
Sweet Caroline,['Neil Diamond'],79,0.237
Come Together - Remastered 2009,['The Beatles'],79,0.0926
Dream On,['Aerosmith'],79,0.332
T.N.T.,['AC/DC'],79,0.101
All Along the Watchtower,['Jimi Hendrix'],79,0.0842
Girls Just Want to Have Fun,['Cyndi Lauper'],79,0.349
Could You Be Loved,['Bob Marley & The Wailers'],78,0.0958
(I Can't Get No) Satisfaction - Mono Version,['The Rolling Stones'],78,0.128
9 to 5,['Dolly Parton'],78,0.631
