name,artists,popularity,tempo
Take on Me,['a-ha'],86,84.412
Dreams - 2004 Remaster,['Fleetwood Mac'],86,120.151
Billie Jean,['Michael Jackson'],85,117.046
Back In Black,['AC/DC'],85,188.386
Every Breath You Take,['The Police'],85,117.401
Everybody Wants To Rule The World,['Tears For Fears'],84,112.067
Livin' On A Prayer,['Bon Jovi'],84,122.511
Highway to Hell,['AC/DC'],84,115.728
Hotel California - 2013 Remaster,['Eagles'],84,147.125
Africa,['TOTO'],84,92.718
Another One Bites The Dust - Remastered 2011,['Queen'],83,109.967
Summer Of '69,['Bryan Adams'],83,139.131
I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],83,118.818
Sweet Dreams (Are Made of This) - Remastered,['Eurythmics' 'Annie Lennox' 'Dave Stewart'],83,125.135
Here Comes The Sun - Remastered 2009,['The Beatles'],83,129.171
Sweet Home Alabama,['Lynyrd Skynyrd'],83,97.798
Fortunate Son,['Creedence Clearwater Revival'],83,132.77
Bohemian Rhapsody - Remastered 2011,['Queen'],83,71.105
I'm Still Standing,['Elton John'],83,176.808
Don't Stop Believin',['Journey'],82,118.852
Ain't No Mountain High Enough,['Marvin Gaye' 'Tammi Terrell'],82,129.991
Sweet Child O' Mine,"[""Guns N' Roses""]",82,125.116
Just the Two of Us (feat. Bill Withers),['Grover Washington Jr.' 'Bill Withers'],82,95.77
Don't Stop Me Now - Remastered 2011,['Queen'],82,156.295
Rocket Man (I Think It's Going To Be A Long Long Time),['Elton John'],82,136.571
The Chain - 2004 Remaster,['Fleetwood Mac'],82,151.553
Mr. Blue Sky,['Electric Light Orchestra'],82,177.765
You Give Love A Bad Name,['Bon Jovi'],81,122.803
Dancing Queen,['ABBA'],81,100.804
Sultans Of Swing,['Dire Straits'],81,148.174
September,['Earth Wind & Fire'],81,125.926
You Shook Me All Night Long,['AC/DC'],81,127.361
Under Pressure - Remastered 2011,['Queen' 'David Bowie'],81,113.805
Jump - 2015 Remaster,['Van Halen'],80,129.981
Wake Me Up Before You Go-Go,['Wham!'],80,81.548
We Will Rock You - Remastered,['Queen'],80,81.308
More Than a Feeling,['Boston'],80,108.736
With Or Without You - Remastered,['U2'],80,110.171
I Still Haven't Found What I'm Looking For,['U2'],80,100.894
Brown Eyed Girl,['Van Morrison'],80,150.572
Tiny Dancer,['Elton John'],80,145.075
Should I Stay or Should I Go - Remastered,['The Clash'],80,113.375
My Girl,['The Temptations'],80,104.566
Beat It,['Michael Jackson'],80,138.858
Three Little Birds,['Bob Marley & The Wailers'],80,148.404
Your Song,['Elton John'],80,128.157
I Was Made For Lovin' You,['KISS'],80,128.373
Walking On Sunshine,['Katrina & The Waves'],79,109.902
I Want to Know What Love Is - 1999 Remaster,['Foreigner'],79,81.204
Landslide,['Fleetwood Mac'],79,159.375
Paint It Black,['The Rolling Stones'],79,158.691
Paradise City,"[""Guns N' Roses""]",79,100.271
Uptown Girl,['Billy Joel'],79,128.992
California Dreamin' - Single Version,['The Mamas & The Papas'],79,112.367
Ahora Te Puedes Marchar,['Luis Miguel'],79,133.263
You Make My Dreams (Come True),['Daryl Hall & John Oates'],79,167.057
Free Fallin',['Tom Petty'],79,84.383
Ain't No Sunshine,['Bill Withers'],79,78.169
Imagine - Remastered 2010,['John Lennon'],79,75.752
Stairway to Heaven - Remaster,['Led Zeppelin'],79,82.433
Take It Easy - 2013 Remaster,['Eagles'],79,139.191
Everywhere - 2017 Remaster,['Fleetwood Mac'],79,114.965
Can't Help Falling in Love,['Elvis Presley'],79,100.307
Let It Be - Remastered 2009,['The Beatles'],79,143.462
Signed Sealed Delivered (I'm Yours),['Stevie Wonder'],79,108.875
Gimme! Gimme! Gimme! (A Man After Midnight),['ABBA'],79,119.528
Have You Ever Seen The Rain,['Creedence Clearwater Revival'],79,116.109
Stand by Me,['Ben E. King'],79,118.068
Fast Car,['Tracy Chapman'],79,103.951
Bad Moon Rising,['Creedence Clearwater Revival'],79,178.946
Sweet Caroline,['Neil Diamond'],79,63.05
Come Together - Remastered 2009,['The Beatles'],79,165.007
Dream On,['Aerosmith'],79,160.9
T.N.T.,['AC/DC'],79,126.366
All Along the Watchtower,['Jimi Hendrix'],79,113.253
Girls Just Want to Have Fun,['Cyndi Lauper'],79,120.372
Could You Be Loved,['Bob Marley & The Wailers'],78,103.312
(I Can't Get No) Satisfaction - Mono Version,['The Rolling Stones'],78,136.302
9 to 5,['Dolly Parton'],78,105.39
Smooth Criminal - 2012 Remaster,['Michael Jackson'],78,118.193
Welcome To The Jungle,"[""Guns N' Roses""]",78,123.453
Dust in the Wind,['Kansas'],78,93.503
In The Air Tonight - 2015 Remastered,['Phil Collins'],78,189.507
Whole Lotta Love - 1990 Remaster,['Led Zeppelin'],78,89.74
Where Is My Mind? - Remastered,['Pixies'],78,81.334
Paranoid,['Black Sabbath'],78,162.734
Hold the Line,['TOTO'],78,96.556
Start Me Up - Remastered,['The Rolling Stones'],78,122.429
