name,artists,popularity,valence
Take on Me,['a-ha'],86,0.876
Dreams - 2004 Remaster,['Fleetwood Mac'],86,0.789
Billie Jean,['Michael Jackson'],85,0.847
Back In Black,['AC/DC'],85,0.763
Every Breath You Take,['The Police'],85,0.74
Everybody Wants To Rule The World,['Tears For Fears'],84,0.535
Livin' On A Prayer,['Bon Jovi'],84,0.795
Highway to Hell,['AC/DC'],84,0.423
Hotel California - 2013 Remaster,['Eagles'],84,0.609
Africa,['TOTO'],84,0.732
Another One Bites The Dust - Remastered 2011,['Queen'],83,0.754
Summer Of '69,['Bryan Adams'],83,0.774
I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],83,0.867
Sweet Dreams (Are Made of This) - Remastered,['Eurythmics' 'Annie Lennox' 'Dave Stewart'],83,0.875
Here Comes The Sun - Remastered 2009,['The Beatles'],83,0.394
Sweet Home Alabama,['Lynyrd Skynyrd'],83,0.886
Fortunate Son,['Creedence Clearwater Revival'],83,0.663
Bohemian Rhapsody - Remastered 2011,['Queen'],83,0.224
I'm Still Standing,['Elton John'],83,0.772
Don't Stop Believin',['Journey'],82,0.514
Ain't No Mountain High Enough,['Marvin Gaye' 'Tammi Terrell'],82,0.8
Sweet Child O' Mine,"[""Guns N' Roses""]",82,0.629
Just the Two of Us (feat. Bill Withers),['Grover Washington Jr.' 'Bill Withers'],82,0.624
Don't Stop Me Now - Remastered 2011,['Queen'],82,0.609
Rocket Man (I Think It's Going To Be A Long Long Time),['Elton John'],82,0.341
The Chain - 2004 Remaster,['Fleetwood Mac'],82,0.481
Mr. Blue Sky,['Electric Light Orchestra'],82,0.478
You Give Love A Bad Name,['Bon Jovi'],81,0.812
Dancing Queen,['ABBA'],81,0.754
Sultans Of Swing,['Dire Straits'],81,0.931
September,['Earth Wind & Fire'],81,0.979
You Shook Me All Night Long,['AC/DC'],81,0.755
Under Pressure - Remastered 2011,['Queen' 'David Bowie'],81,0.462
Jump - 2015 Remaster,['Van Halen'],80,0.795
Wake Me Up Before You Go-Go,['Wham!'],80,0.897
We Will Rock You - Remastered,['Queen'],80,0.475
More Than a Feeling,['Boston'],80,0.288
With Or Without You - Remastered,['U2'],80,0.113
I Still Haven't Found What I'm Looking For,['U2'],80,0.657
Brown Eyed Girl,['Van Morrison'],80,0.907
Tiny Dancer,['Elton John'],80,0.282
Should I Stay or Should I Go - Remastered,['The Clash'],80,0.82
My Girl,['The Temptations'],80,0.694
Beat It,['Michael Jackson'],80,0.915
Three Little Birds,['Bob Marley & The Wailers'],80,0.615
Your Song,['Elton John'],80,0.325
I Was Made For Lovin' You,['KISS'],80,0.867
Walking On Sunshine,['Katrina & The Waves'],79,0.944
I Want to Know What Love Is - 1999 Remaster,['Foreigner'],79,0.423
Landslide,['Fleetwood Mac'],79,0.423
Paint It Black,['The Rolling Stones'],79,0.612
Paradise City,"[""Guns N' Roses""]",79,0.472
Uptown Girl,['Billy Joel'],79,0.791
California Dreamin' - Single Version,['The Mamas & The Papas'],79,0.637
Ahora Te Puedes Marchar,['Luis Miguel'],79,0.909
You Make My Dreams (Come True),['Daryl Hall & John Oates'],79,0.902
Free Fallin',['Tom Petty'],79,0.572
Ain't No Sunshine,['Bill Withers'],79,0.515
Imagine - Remastered 2010,['John Lennon'],79,0.169
Stairway to Heaven - Remaster,['Led Zeppelin'],79,0.197
Take It Easy - 2013 Remaster,['Eagles'],79,0.74
Everywhere - 2017 Remaster,['Fleetwood Mac'],79,0.731
Can't Help Falling in Love,['Elvis Presley'],79,0.343
Let It Be - Remastered 2009,['The Beatles'],79,0.41
Signed Sealed Delivered (I'm Yours),['Stevie Wonder'],79,0.828
Gimme! Gimme! Gimme! (A Man After Midnight),['ABBA'],79,0.536
Have You Ever Seen The Rain,['Creedence Clearwater Revival'],79,0.774
Stand by Me,['Ben E. King'],79,0.605
Fast Car,['Tracy Chapman'],79,0.194
Bad Moon Rising,['Creedence Clearwater Revival'],79,0.942
Sweet Caroline,['Neil Diamond'],79,0.578
Come Together - Remastered 2009,['The Beatles'],79,0.187
Dream On,['Aerosmith'],79,0.224
T.N.T.,['AC/DC'],79,0.435
All Along the Watchtower,['Jimi Hendrix'],79,0.564
Girls Just Want to Have Fun,['Cyndi Lauper'],79,0.725
Could You Be Loved,['Bob Marley & The Wailers'],78,0.76
(I Can't Get No) Satisfaction - Mono Version,['The Rolling Stones'],78,0.931
9 to 5,['Dolly Parton'],78,0.813
Smooth Criminal - 2012 Remaster,['Michael Jackson'],78,0.595
Welcome To The Jungle,"[""Guns N' Roses""]",78,0.331
Dust in the Wind,['Kansas'],78,0.387
In The Air Tonight - 2015 Remastered,['Phil Collins'],78,0.298
Whole Lotta Love - 1990 Remaster,['Led Zeppelin'],78,0.422
Where Is My Mind? - Remastered,['Pixies'],78,0.25
Paranoid,['Black Sabbath'],78,0.376
Hold the Line,['TOTO'],78,0.808
Start Me Up - Remastered,['The Rolling Stones'],78,0.971
Immigrant Song - Remaster,['Led Zeppelin'],78,0.619
The Final Countdown,['Europe'],78,0.188
A Horse with No Name,['America' 'George Martin'],78,0.831
Baba O'Riley,['The Who'],78,0.15
You Can't Hurry Love - 2016 Remaster,['Phil Collins'],78,0.763
The Boys Of Summer,['Don Henley'],78,0.907
Dancing In the Dark,['Bruce Springsteen'],78,0.495
Walk Of Life,['Dire Straits'],78,0.802
We Built This City,['Starship'],78,0.656
Don't Go Breaking My Heart,['Elton John' 'Kiki Dee'],78,0.777
Come and Get Your Love - Single Version,['Redbone'],78,0.957
Another Brick in the Wall Pt. 2,['Pink Floyd'],77,0.719
You Can Call Me Al,['Paul Simon'],77,0.82
La Incondicional,['Luis Miguel'],77,0.283
Roxanne,['The Police'],77,0.663
Johnny B. Goode,['Chuck Berry'],77,0.969
Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],77,0.803
Easy,['Commodores'],77,0.354
Lovely Day,['Bill Withers'],77,0.706
Wonderful Tonight,['Eric Clapton'],77,0.485
For What It's Worth,['Buffalo Springfield'],77,0.822
Come On Eileen,['Dexys Midnight Runners'],77,0.782
Nothing's Gonna Stop Us Now,['Starship'],77,0.53
My Sweet Lord - Remastered 2014,['George Harrison'],77,0.583
La Grange - 2005 Remaster,['ZZ Top'],77,0.606
I Say a Little Prayer,['Aretha Franklin'],77,0.499
"Mrs. Robinson - From ""The Graduate"" Soundtrack",['Simon & Garfunkel'],77,0.813
Yesterday - Remastered 2009,['The Beatles'],77,0.315
Piano Man,['Billy Joel'],77,0.429
The Joker,['Steve Miller Band'],77,0.796
I Want You Back,['The Jackson 5'],77,0.886
"Rasputin - 7"" Version",['Boney M.'],77,0.972
Heaven,['Bryan Adams'],77,0.335
At Last,['Etta James'],77,0.328
Eye of the Tiger,['Survivor'],77,0.548
Kickstart My Heart,['Mötley Crüe'],77,0.271
Right Here Waiting,['Richard Marx'],77,0.126
Wish You Were Here,['Pink Floyd'],77,0.375
Wild World,['Yusuf / Cat Stevens'],77,0.567
Listen to the Music,['The Doobie Brothers'],77,0.913
(Don't Fear) The Reaper,['Blue Öyster Cult'],77,0.385
You're so Vain,['Carly Simon'],77,0.647
Hooked on a Feeling,['Blue Swede' 'Björn Skifs'],77,0.933
Walk This Way,['Aerosmith'],77,0.894
Message In A Bottle,['The Police'],76,0.869
