Take on Me,['a-ha'],0.573,0.902,0.0928,0.018,0.876,84.412,1985
Dreams - 2004 Remaster,['Fleetwood Mac'],0.828,0.492,0.128,0.0644,0.789,120.151,1977
Billie Jean,['Michael Jackson'],0.92,0.654,0.0359,0.0236,0.847,117.046,1982
Back In Black,['AC/DC'],0.31,0.7,0.0828,0.011,0.763,188.386,1980
Every Breath You Take,['The Police'],0.82,0.452,0.0714,0.543,0.74,117.401,1983
Everybody Wants To Rule The World,['Tears For Fears'],0.645,0.795,0.104,0.347,0.535,112.067,1985
Livin' On A Prayer,['Bon Jovi'],0.532,0.887,0.294,0.0778,0.795,122.511,1986
Highway to Hell,['AC/DC'],0.574,0.913,0.156,0.061,0.423,115.728,1979
Hotel California - 2013 Remaster,['Eagles'],0.579,0.508,0.0575,0.00574,0.609,147.125,1976
Africa,['TOTO'],0.671,0.373,0.0481,0.257,0.732,92.718,1982
Another One Bites The Dust - Remastered 2011,['Queen'],0.933,0.528,0.163,0.112,0.754,109.967,1980
Summer Of '69,['Bryan Adams'],0.508,0.834,0.0732,0.0183,0.774,139.131,1984
I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],0.709,0.824,0.0888,0.207,0.867,118.818,1987
Sweet Dreams (Are Made of This) - Remastered,['Eurythmics' 'Annie Lennox' 'Dave Stewart'],0.692,0.711,0.12,0.225,0.875,125.135,1983
Here Comes The Sun - Remastered 2009,['The Beatles'],0.557,0.54,0.179,0.0339,0.394,129.171,1969
Sweet Home Alabama,['Lynyrd Skynyrd'],0.596,0.605,0.0863,0.181,0.886,97.798,1974
Fortunate Son,['Creedence Clearwater Revival'],0.64,0.663,0.152,0.201,0.663,132.77,1969
Bohemian Rhapsody - Remastered 2011,['Queen'],0.414,0.404,0.3,0.271,0.224,71.105,1975
I'm Still Standing,['Elton John'],0.504,0.904,0.14,0.356,0.772,176.808,1983
Don't Stop Believin',['Journey'],0.5,0.748,0.447,0.127,0.514,118.852,1981
Ain't No Mountain High Enough,['Marvin Gaye' 'Tammi Terrell'],0.663,0.6,0.184,0.43,0.8,129.991,1967
Sweet Child O' Mine,"[""Guns N' Roses""]",0.454,0.91,0.116,0.0866,0.629,125.116,1987
